productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extPower,extDefenseValue,extTalent,extCost,extPitchValue,extFlavorText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
664616,Savage Claw,Savage Claw,https://tcgplayer-cdn.tcgplayer.com/product/664616_200w.jpg,62,24532,https://cpt.tcgcsv.com/lSk7,2025-11-20T18:03:17.53,1,Majestic,PEN001,Weapon,Claw (1H),Brute,3,,,,,,,,,,,
664617,Magmatic Carapace,Magmatic Carapace,https://tcgplayer-cdn.tcgplayer.com/product/664617_200w.jpg,62,24532,https://cpt.tcgcsv.com/mSk7,2025-11-20T17:56:58.863,1,Rare,PEN017,Equipment,Chest,Guardian,,2,,,,,,,,,,
664618,Synapse Sparkcap,Synapse Sparkcap,https://tcgplayer-cdn.tcgplayer.com/product/664618_200w.jpg,62,24532,https://cpt.tcgcsv.com/nSk7,2025-11-20T18:02:51.51,1,Majestic,PEN057,Equipment,Head;Base,Mechanologist,,1,,,,,,,,,,
664619,Bolt'n Boots,Boltn Boots,https://tcgplayer-cdn.tcgplayer.com/product/664619_200w.jpg,62,24532,https://cpt.tcgcsv.com/pSk7,2025-11-20T18:02:34.933,1,Rare,PEN082,Equipment,Legs,Ranger,,1,,,,,,,,,,
664620,Grimoire of Fellingsong,Grimoire of Fellingsong,https://tcgplayer-cdn.tcgplayer.com/product/664620_200w.jpg,62,24532,https://cpt.tcgcsv.com/qSk7,2025-11-20T18:05:30.293,1,Majestic,PEN092,Equipment,Off-Hand,Runeblade,,,,,,,,,,,,
664621,Trench of Watery Depths,Trench of Watery Depths,https://tcgplayer-cdn.tcgplayer.com/product/664621_200w.jpg,62,24532,https://cpt.tcgcsv.com/rSk7,2025-11-20T18:06:14.03,1,Rare,PEN168,Equipment,Chest,Pirate,,1,,,,,,,,,,
664622,Elemental Strike,Elemental Strike,https://tcgplayer-cdn.tcgplayer.com/product/664622_200w.jpg,62,24532,https://cpt.tcgcsv.com/sSk7,2025-11-20T19:04:55.063,1,Majestic,PEN205,Action,Attack,Pirate,5,3,Elemental,0,1,,,,,,,
664625,Colors of Aria,Colors of Aria,https://tcgplayer-cdn.tcgplayer.com/product/664625_200w.jpg,62,24532,https://cpt.tcgcsv.com/wSk7,2025-11-20T19:10:12.45,1,Rare,PEN206,Action,Attack,Pirate,7,3,Elemental,3,1,"<em>The Ancients' sacrifice, made centuries ago, still manifests in Aria's lush landscapes and abundant harvests. The Flow is their legacy.</em>",,,,,,
664627,Frosthaven Sheath,Frosthaven Sheath,https://tcgplayer-cdn.tcgplayer.com/product/664627_200w.jpg,62,24532,https://cpt.tcgcsv.com/zSk7,2025-11-20T19:13:11.947,1,Common,PEN207,Defense Reaction,Attack,Pirate,,5,Elemental,1,1,<em>For Galcia she remembers when two worlds touched.</em>,,,,,,
664629,Leaven Sheath,Leaven Sheath,https://tcgplayer-cdn.tcgplayer.com/product/664629_200w.jpg,62,24532,https://cpt.tcgcsv.com/CSk7,2025-11-20T19:17:42.87,1,Common,PEN208,Defense Reaction,Attack,Pirate,,5,Elemental,1,1,<em>For Davnir she feels the twin lands tremble.</em>,,,,,,
