productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extCost,extPitchValue,extPower,extDefenseValue,extFlavorText
629763,Armory Deck: Ira,Armory Deck Ira,https://tcgplayer-cdn.tcgplayer.com/product/629763_200w.jpg,62,24315,https://cpt.tcgcsv.com/hW27,2025-07-11T04:10:22.007,1,36.38,46.74,55.0,40.63,,Normal,,,,,,,,,,,,
629764,Armory Deck: Ira Case,Armory Deck Ira Case,https://tcgplayer-cdn.tcgplayer.com/product/629764_200w.jpg,62,24315,https://cpt.tcgcsv.com/jW27,2025-07-11T04:10:22.007,0,,,,,,,,,,,,,,,,,,
630339,"Ira, Scarlet Revenger",Ira Scarlet Revenger,https://tcgplayer-cdn.tcgplayer.com/product/630339_200w.jpg,62,24315,https://cpt.tcgcsv.com/P837,2025-07-11T04:10:22.007,1,0.39,0.88,7.99,0.85,,Rainbow Foil,Majestic,ASR001,Hero,Ninja,4,40,,,,,,
630340,Enact Vengeance,Enact Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/630340_200w.jpg,62,24315,https://cpt.tcgcsv.com/Q837,2025-07-11T04:10:22.007,1,1.41,2.15,6.5,3.41,,Normal,Majestic,ASR008,Action,Ninja,,,Attack,2,1,6,3,
641616,Iris of the Blossom,Iris of the Blossom,https://tcgplayer-cdn.tcgplayer.com/product/641616_200w.jpg,62,24315,https://cpt.tcgcsv.com/lG87,2025-07-11T04:10:22.007,1,0.39,0.99,5.18,1.95,,Rainbow Foil,Majestic,ASR003,Equipment,Ninja,,,Head,,,,2,
641617,Robe of Autumn's Fall,Robe of Autumns Fall,https://tcgplayer-cdn.tcgplayer.com/product/641617_200w.jpg,62,24315,https://cpt.tcgcsv.com/mG87,2025-07-11T04:10:22.007,1,1.03,1.42,5.04,1.88,,Rainbow Foil,Majestic,ASR004,Equipment,Ninja,,,Chest,,,,0,
641619,Okana Scar Wraps,Okana Scar Wraps Majestic,https://tcgplayer-cdn.tcgplayer.com/product/641619_200w.jpg,62,24315,https://cpt.tcgcsv.com/pG87,2025-07-11T04:10:22.007,1,1.68,2.5,12.0,4.48,,Rainbow Foil,Majestic,ASR005,Equipment,Ninja,,,Arms,,,,2,
641621,Seek Vengeance (Red),Seek Vengeance Red,https://tcgplayer-cdn.tcgplayer.com/product/641621_200w.jpg,62,24315,https://cpt.tcgcsv.com/rG87,2025-07-11T04:10:22.007,1,1.12,2.0,3.55,2.2,,Normal,Rare,ASR012,Action,Ninja,,,Attack,0,1,4,3,
641622,Seek Vengeance (Blue),Seek Vengeance Blue,https://tcgplayer-cdn.tcgplayer.com/product/641622_200w.jpg,62,24315,https://cpt.tcgcsv.com/sG87,2025-07-11T04:10:22.007,1,1.27,1.89,3.49,1.51,,Normal,Rare,ASR022,Action,Ninja,,,Attack,0,3,2,3,
641623,Vengeance Never Rests,Vengeance Never Rests,https://tcgplayer-cdn.tcgplayer.com/product/641623_200w.jpg,62,24315,https://cpt.tcgcsv.com/tG87,2025-07-11T04:10:22.007,1,0.58,1.44,11.95,3.52,,Normal,Majestic,ASR025,Action,Ninja,,,Attack,1,3,3,3,
641624,Legacy of Ikaru,Legacy of Ikaru,https://tcgplayer-cdn.tcgplayer.com/product/641624_200w.jpg,62,24315,https://cpt.tcgcsv.com/vG87,2025-07-11T04:10:22.007,1,2.09,3.15,3.57,2.49,,Normal,Rare,ASR026,Attack Reaction,Ninja,,,,0,3,,3,
641628,Edge of Autumn,Edge of Autumn,https://tcgplayer-cdn.tcgplayer.com/product/641628_200w.jpg,62,24315,https://cpt.tcgcsv.com/BG87,2025-07-11T04:10:22.007,1,0.09,0.11,0.5,0.09,,Normal,Rare,ASR002,Weapon,Ninja,,,Sword (2H),,,1,,
641629,Snapdragon Scalers,Snapdragon Scalers,https://tcgplayer-cdn.tcgplayer.com/product/641629_200w.jpg,62,24315,https://cpt.tcgcsv.com/CG87,2025-07-11T04:10:22.007,1,0.35,0.38,3.75,0.4,,Normal,Common,ASR006,Equipment,Generic,,,Legs,,,,0,
641630,Bittering Thorns (Red),Bittering Thorns Red,https://tcgplayer-cdn.tcgplayer.com/product/641630_200w.jpg,62,24315,https://cpt.tcgcsv.com/DG87,2025-07-11T04:10:22.007,1,1.0,2.0,4.0,2.01,,Normal,Common,ASR007,Action,Ninja,,,Attack,1,1,4,2,
641631,Bittering Thorns (Blue),Bittering Thorns Blue,https://tcgplayer-cdn.tcgplayer.com/product/641631_200w.jpg,62,24315,https://cpt.tcgcsv.com/FG87,2025-07-11T04:10:22.007,1,0.48,1.22,1.84,0.79,,Normal,Common,ASR020,Action,Ninja,,,Attack,1,3,2,2,
641632,Flying Kick (Red),Flying Kick Red,https://tcgplayer-cdn.tcgplayer.com/product/641632_200w.jpg,62,24315,https://cpt.tcgcsv.com/GG87,2025-07-11T04:10:22.007,1,0.1,0.21,0.25,,,Normal,Common,ASR009,Action,Ninja,,,Attack,2,1,5,3,
641634,Flying Kick (Blue),Flying Kick Blue Common,https://tcgplayer-cdn.tcgplayer.com/product/641634_200w.jpg,62,24315,https://cpt.tcgcsv.com/JG87,2025-07-11T04:10:22.007,1,0.1,0.21,0.25,,,Normal,Common,ASR021,Action,Ninja,,,Attack,2,3,3,3,
641640,Give and Take,Give and Take,https://tcgplayer-cdn.tcgplayer.com/product/641640_200w.jpg,62,24315,https://cpt.tcgcsv.com/QG87,2025-07-11T04:10:22.007,1,0.95,1.15,3.39,1.32,,Normal,Majestic,ASR010,Action,Generic,,,Attack,1,1,3,3,
641643,Torrent of Tempo (Red),Torrent of Tempo Red,https://tcgplayer-cdn.tcgplayer.com/product/641643_200w.jpg,62,24315,https://cpt.tcgcsv.com/TG87,2025-07-11T04:10:22.007,1,0.1,0.22,0.25,0.18,,Normal,Common,ASR015,Action,Ninja,,,Attack,1,1,5,3,
641645,Torrent of Tempo (Blue),Torrent of Tempo Blue,https://tcgplayer-cdn.tcgplayer.com/product/641645_200w.jpg,62,24315,https://cpt.tcgcsv.com/WG87,2025-07-11T04:10:22.007,1,0.1,0.21,0.25,,,Normal,Common,ASR024,Action,Ninja,,,Attack,1,3,3,3,
641647,Soulbead Strike (Red),Soulbead Strike Red,https://tcgplayer-cdn.tcgplayer.com/product/641647_200w.jpg,62,24315,https://cpt.tcgcsv.com/ZG87,2025-07-11T04:10:22.007,1,0.15,0.25,0.25,0.1,,Normal,Common,ASR014,Action,Ninja,,,Attack,0,1,4,3,
641649,Soulbead Strike (Blue),Soulbead Strike Blue,https://tcgplayer-cdn.tcgplayer.com/product/641649_200w.jpg,62,24315,https://cpt.tcgcsv.com/_G87,2025-07-11T04:10:22.007,1,0.1,0.21,0.25,0.1,,Normal,Common,ASR023,Action,Ninja,,,Attack,0,3,2,3,
641650,Snatch (Red),Snatch Red,https://tcgplayer-cdn.tcgplayer.com/product/641650_200w.jpg,62,24315,https://cpt.tcgcsv.com/0H87,2025-07-11T04:10:22.007,1,0.5,2.2,2.2,0.87,,Normal,Rare,ASR013,Action,Generic,,,Attack,0,1,4,2,
641651,Scar for a Scar (Red),Scar for a Scar Red,https://tcgplayer-cdn.tcgplayer.com/product/641651_200w.jpg,62,24315,https://cpt.tcgcsv.com/2H87,2025-07-11T04:10:22.007,1,0.15,0.25,0.25,0.1,,Normal,Common,ASR011,Action,Generic,,,Attack,0,1,4,2,
641652,Razor Reflex (Red),Razor Reflex Red,https://tcgplayer-cdn.tcgplayer.com/product/641652_200w.jpg,62,24315,https://cpt.tcgcsv.com/3H87,2025-07-11T04:10:22.007,1,0.25,0.25,0.5,0.26,,Normal,Common,ASR016,Attack Reaction,Generic,,,,1,1,,2,
641653,Flic Flak (Red),Flic Flak Red,https://tcgplayer-cdn.tcgplayer.com/product/641653_200w.jpg,62,24315,https://cpt.tcgcsv.com/5H87,2025-07-11T04:10:22.007,1,0.15,0.25,0.5,0.12,,Normal,Rare,ASR017,Defense Reaction,Ninja,,,,0,1,,4,"<em>Silver flashes under the pale moonlight, blades slicing through air as Ira twisted and turned, narrowly avoiding their ambush.</em>"
641654,Sink Below (Red),Sink Below Red,https://tcgplayer-cdn.tcgplayer.com/product/641654_200w.jpg,62,24315,https://cpt.tcgcsv.com/6H87,2025-07-11T04:10:22.007,1,1.5,1.89,2.5,1.88,,Normal,Common,ASR018,Defense Reaction,Generic,,,,0,1,,4,<em>Those blessed with Aether have an incredible gift - the power to shape the fabric of reality.</em>
641655,Whirling Mist Blossom,Whirling Mist Blossom,https://tcgplayer-cdn.tcgplayer.com/product/641655_200w.jpg,62,24315,https://cpt.tcgcsv.com/7H87,2025-07-11T04:10:22.007,1,0.25,0.3,0.5,0.47,,Normal,Common,ASR019,Action,Ninja,,,Attack,1,2,2,2,
641656,Energy Potion,Energy Potion,https://tcgplayer-cdn.tcgplayer.com/product/641656_200w.jpg,62,24315,https://cpt.tcgcsv.com/8H87,2025-07-11T04:10:22.007,1,0.35,0.4,1.0,0.67,,Normal,Rare,ASR027,Action,Generic,,,Item,0,3,,,
