productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extDefenseValue,extPower,extCost,extPitchValue,extFlavorText
245209,Tales of Aria Blitz Deck - Lexi,Tales of Aria Blitz Deck Lexi,https://tcgplayer-cdn.tcgplayer.com/product/245209_200w.jpg,62,3016,https://cpt.tcgcsv.com/c6-2,2022-01-24T15:17:07.503,1,9.08,12.85,19.99,9.08,,Normal,,,,,,,,,,,,,
262492,Lexi,Lexi,https://tcgplayer-cdn.tcgplayer.com/product/262492_200w.jpg,62,3016,https://cpt.tcgcsv.com/S_63,2025-03-12T21:48:08.373,1,0.15,0.5,6.38,0.26,,Rainbow Foil,Rare,LXI001,Hero,Young,Ranger,Elemental,4,20,,,,,
262494,Shiver,Shiver,https://tcgplayer-cdn.tcgplayer.com/product/262494_200w.jpg,62,3016,https://cpt.tcgcsv.com/V_63,2025-03-12T21:48:54.707,1,1.32,1.32,1.32,1.32,,Normal,Common,LXI002,Weapon,Bow (2H),Ranger,Elemental,,,,,,,
262496,Honing Hood,Honing Hood,https://tcgplayer-cdn.tcgplayer.com/product/262496_200w.jpg,62,3016,https://cpt.tcgcsv.com/X_63,2025-03-12T21:13:17.81,1,0.15,0.89,679.65,0.38,,Normal,Common,LXI003,Equipment,Head,Ranger,,,,0,,,,
262497,Deep Blue,Deep Blue,https://tcgplayer-cdn.tcgplayer.com/product/262497_200w.jpg,62,3016,https://cpt.tcgcsv.com/Z_63,2025-03-12T21:49:37.417,1,0.14,0.35,0.5,0.15,,Normal,Common,LXI004,Equipment,Chest,Generic,,,,0,,,,
262499,Mark of Lightning,Mark of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/262499_200w.jpg,62,3016,https://cpt.tcgcsv.com/__63,2025-03-12T21:51:55.163,1,0.15,0.34,5.97,,,Normal,Common,LXI005,Equipment,Arms,,Lightning,,,0,0,,,
262501,Ironrot Legs,Ironrot Legs,https://tcgplayer-cdn.tcgplayer.com/product/262501_200w.jpg,62,3016,https://cpt.tcgcsv.com/2073,2025-03-12T21:55:33.533,1,0.15,0.2,0.5,,,Normal,Common,LXI006,Equipment,Legs,Generic,,,,1,,,,
262502,Buzz Bolt (Red),Buzz Bolt Red,https://tcgplayer-cdn.tcgplayer.com/product/262502_200w.jpg,62,3016,https://cpt.tcgcsv.com/3073,2025-03-12T21:20:43.663,1,0.07,0.25,679.65,,,Normal,Common,LXI007,Action,Arrow Attack,Ranger,Elemental,,,3,5,1,1,
262503,Dazzling Crescendo (Red),Dazzling Crescendo Red,https://tcgplayer-cdn.tcgplayer.com/product/262503_200w.jpg,62,3016,https://cpt.tcgcsv.com/5073,2025-03-12T20:43:38.837,1,0.07,0.25,679.65,,,Normal,Common,LXI008,Action,Arrow Attack,Ranger,Elemental,,,3,4,0,1,
262504,Frazzle (Red),Frazzle Red,https://tcgplayer-cdn.tcgplayer.com/product/262504_200w.jpg,62,3016,https://cpt.tcgcsv.com/6073,2025-03-12T20:54:40.567,1,0.07,0.4,679.65,,,Normal,Common,LXI009,Action,Arrow Attack,Ranger,Elemental,,,3,5,1,1,
