productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extPower,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extDefenseValue,extLife,extIntellect,extTalent
634052,Cogwerx Blunderbuss,Cogwerx Blunderbuss,https://tcgplayer-cdn.tcgplayer.com/product/634052_200w.jpg,62,24334,https://cpt.tcgcsv.com/3F57,2025-06-02T04:10:11.88,1,Promo,GEM035,Weapon,Gun (2H),Mechanologist,2,2.0,3.31,24.99,3.39,,Cold Foil,,,,,,
634053,Spitfire,Spitfire,https://tcgplayer-cdn.tcgplayer.com/product/634053_200w.jpg,62,24334,https://cpt.tcgcsv.com/5F57,2025-06-02T04:10:11.88,1,Promo,GEM036,Weapon,Gun (2H),Mechanologist,2,1.5,2.68,28.99,1.42,,Cold Foil,,,,,,
634055,Compass of Sunken Depths,Compass of Sunken Depths,https://tcgplayer-cdn.tcgplayer.com/product/634055_200w.jpg,62,24334,https://cpt.tcgcsv.com/7F57,2025-06-02T04:10:11.88,1,Promo,GEM037,Equipment,Off-Hand,Necromancer;Pirate,,2.5,3.84,49.59,2.71,,Cold Foil,,,,,,
634056,"Hammerhead, Harpoon Cannon",Hammerhead Harpoon Cannon,https://tcgplayer-cdn.tcgplayer.com/product/634056_200w.jpg,62,24334,https://cpt.tcgcsv.com/8F57,2025-06-02T04:10:11.88,1,Promo,GEM038,Weapon,Bow (2H),Ranger;Pirate,,2.49,3.82,29.99,3.03,,Cold Foil,,,,,,
634057,Redspine Manta,Redspine Manta,https://tcgplayer-cdn.tcgplayer.com/product/634057_200w.jpg,62,24334,https://cpt.tcgcsv.com/9F57,2025-06-02T04:10:11.88,1,Promo,GEM039,Weapon,Bow (2H),Ranger,,5.69,7.8,25.67,7.4,,Cold Foil,,,,,,
634058,Cloud Skiff (Red),Cloud Skiff Red,https://tcgplayer-cdn.tcgplayer.com/product/634058_200w.jpg,62,24334,https://cpt.tcgcsv.com/bF57,2025-06-02T04:10:11.88,1,Promo,GEM041,Action,Attack,Mechanologist,5,0.98,1.49,14.99,1.39,,Rainbow Foil,1,1,3,,,
634058,Cloud Skiff (Red),Cloud Skiff Red,https://tcgplayer-cdn.tcgplayer.com/product/634058_200w.jpg,62,24334,https://cpt.tcgcsv.com/bF57,2025-06-02T04:10:11.88,1,Promo,GEM041,Action,Attack,Mechanologist,5,0.23,0.59,5.0,0.38,,Normal,1,1,3,,,
634059,Sky Skimmer (Red),Sky Skimmer Red,https://tcgplayer-cdn.tcgplayer.com/product/634059_200w.jpg,62,24334,https://cpt.tcgcsv.com/cF57,2025-06-02T04:10:11.88,1,Promo,GEM042,Action,Attack,Mechanologist,4,2.17,5.0,8.0,2.02,,Rainbow Foil,0,1,3,,,
634059,Sky Skimmer (Red),Sky Skimmer Red,https://tcgplayer-cdn.tcgplayer.com/product/634059_200w.jpg,62,24334,https://cpt.tcgcsv.com/cF57,2025-06-02T04:10:11.88,1,Promo,GEM042,Action,Attack,Mechanologist,4,0.34,0.59,7.49,0.53,,Normal,0,1,3,,,
634060,Goldwing Turbine (Red),Goldwing Turbine Red,https://tcgplayer-cdn.tcgplayer.com/product/634060_200w.jpg,62,24334,https://cpt.tcgcsv.com/dF57,2025-06-02T04:10:11.88,1,Promo,GEM043,Action,,Mechanologist,,0.64,1.73,6.0,1.04,,Rainbow Foil,2,1,3,,,
634060,Goldwing Turbine (Red),Goldwing Turbine Red,https://tcgplayer-cdn.tcgplayer.com/product/634060_200w.jpg,62,24334,https://cpt.tcgcsv.com/dF57,2025-06-02T04:10:11.88,1,Promo,GEM043,Action,,Mechanologist,,0.25,0.5,4.0,0.61,,Normal,2,1,3,,,
634061,Lubricate,Lubricate,https://tcgplayer-cdn.tcgplayer.com/product/634061_200w.jpg,62,24334,https://cpt.tcgcsv.com/fF57,2025-06-02T04:10:11.88,1,Promo,GEM044,Instant,,Mechanologist,,0.01,0.5,10.0,0.45,,Normal,0,3,,,,
634061,Lubricate,Lubricate,https://tcgplayer-cdn.tcgplayer.com/product/634061_200w.jpg,62,24334,https://cpt.tcgcsv.com/fF57,2025-06-02T04:10:11.88,1,Promo,GEM044,Instant,,Mechanologist,,0.22,0.75,11.99,0.58,,Rainbow Foil,0,3,,,,
634062,Pinion Sentry,Pinion Sentry,https://tcgplayer-cdn.tcgplayer.com/product/634062_200w.jpg,62,24334,https://cpt.tcgcsv.com/gF57,2025-06-02T04:10:11.88,1,Promo,GEM045,Block,,Mechanologist,,0.14,0.49,2.43,0.43,,Normal,,3,3,,,
634062,Pinion Sentry,Pinion Sentry,https://tcgplayer-cdn.tcgplayer.com/product/634062_200w.jpg,62,24334,https://cpt.tcgcsv.com/gF57,2025-06-02T04:10:11.88,1,Promo,GEM045,Block,,Mechanologist,,1.0,1.8,4.5,1.69,,Rainbow Foil,,3,3,,,
634063,"Chum, Friendly First Mate",Chum Friendly First Mate,https://tcgplayer-cdn.tcgplayer.com/product/634063_200w.jpg,62,24334,https://cpt.tcgcsv.com/hF57,2025-06-02T04:10:11.88,1,Promo,GEM046,Action,Ally,Necromancer;Pirate,4,18.76,23.07,51.75,17.74,,Rainbow Foil,4,2,,6,,
634064,Moray le Fay,Moray le Fay,https://tcgplayer-cdn.tcgplayer.com/product/634064_200w.jpg,62,24334,https://cpt.tcgcsv.com/jF57,2025-06-02T04:10:11.88,1,Promo,GEM047,Action,Ally,Necromancer;Pirate,0,4.28,5.26,19.49,5.81,,Rainbow Foil,0,2,,3,,
634065,Wailer Humperdinck,Wailer Humperdinck,https://tcgplayer-cdn.tcgplayer.com/product/634065_200w.jpg,62,24334,https://cpt.tcgcsv.com/kF57,2025-06-02T04:10:11.88,1,Promo,GEM048,Action,Ally,Necromancer;Pirate,11,8.0,9.38,11.99,8.21,,Rainbow Foil,6,2,,7,,
634066,Avast Ye!,Avast Ye,https://tcgplayer-cdn.tcgplayer.com/product/634066_200w.jpg,62,24334,https://cpt.tcgcsv.com/lF57,2025-06-02T04:10:11.88,1,Promo,GEM051,Action,,Necromancer;Pirate,,1.0,2.13,26.31,2.13,,Rainbow Foil,0,3,3,,,
634066,Avast Ye!,Avast Ye,https://tcgplayer-cdn.tcgplayer.com/product/634066_200w.jpg,62,24334,https://cpt.tcgcsv.com/lF57,2025-06-02T04:10:11.88,1,Promo,GEM051,Action,,Necromancer;Pirate,,0.75,1.27,4.99,1.22,,Normal,0,3,3,,,
634067,Heave Ho!,Heave Ho,https://tcgplayer-cdn.tcgplayer.com/product/634067_200w.jpg,62,24334,https://cpt.tcgcsv.com/mF57,2025-06-02T04:10:11.88,1,Promo,GEM052,Action,,Necromancer;Pirate,,0.12,0.99,10.2,0.61,,Rainbow Foil,0,3,3,,,
634067,Heave Ho!,Heave Ho,https://tcgplayer-cdn.tcgplayer.com/product/634067_200w.jpg,62,24334,https://cpt.tcgcsv.com/mF57,2025-06-02T04:10:11.88,1,Promo,GEM052,Action,,Necromancer;Pirate,,0.01,0.55,5.38,0.58,,Normal,0,3,3,,,
634068,Yo Ho Ho!,Yo Ho Ho,https://tcgplayer-cdn.tcgplayer.com/product/634068_200w.jpg,62,24334,https://cpt.tcgcsv.com/nF57,2025-06-02T04:10:11.88,1,Promo,GEM053,Action,,Necromancer;Pirate,,0.01,0.58,6.5,0.59,,Normal,0,3,3,,,
634068,Yo Ho Ho!,Yo Ho Ho,https://tcgplayer-cdn.tcgplayer.com/product/634068_200w.jpg,62,24334,https://cpt.tcgcsv.com/nF57,2025-06-02T04:10:11.88,1,Promo,GEM053,Action,,Necromancer;Pirate,,0.23,0.77,8.88,0.66,,Rainbow Foil,0,3,3,,,
634069,Jittery Bones (Red),Jittery Bones Red,https://tcgplayer-cdn.tcgplayer.com/product/634069_200w.jpg,62,24334,https://cpt.tcgcsv.com/pF57,2025-06-02T04:10:11.88,1,Promo,GEM049,Action,Attack,Necromancer;Pirate,4,0.06,0.72,15.0,0.58,,Normal,0,1,3,,,
634069,Jittery Bones (Red),Jittery Bones Red,https://tcgplayer-cdn.tcgplayer.com/product/634069_200w.jpg,62,24334,https://cpt.tcgcsv.com/pF57,2025-06-02T04:10:11.88,1,Promo,GEM049,Action,Attack,Necromancer;Pirate,4,0.5,0.9,11.75,0.86,,Rainbow Foil,0,1,3,,,
634070,Restless Bones (Blue),Restless Bones Blue,https://tcgplayer-cdn.tcgplayer.com/product/634070_200w.jpg,62,24334,https://cpt.tcgcsv.com/qF57,2025-06-02T04:10:11.88,1,Promo,GEM050,Action,Attack,Necromancer;Pirate,4,0.01,0.58,4.9,0.51,,Normal,2,3,3,,,
634070,Restless Bones (Blue),Restless Bones Blue,https://tcgplayer-cdn.tcgplayer.com/product/634070_200w.jpg,62,24334,https://cpt.tcgcsv.com/qF57,2025-06-02T04:10:11.88,1,Promo,GEM050,Action,Attack,Necromancer;Pirate,4,0.5,1.67,8.88,1.36,,Rainbow Foil,2,3,3,,,
634071,Blue Fin Harpoon,Blue Fin Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634071_200w.jpg,62,24334,https://cpt.tcgcsv.com/rF57,2025-06-02T04:10:11.88,1,Promo,GEM054,Action,Arrow Attack,Ranger;Pirate,4,0.27,0.75,5.0,0.74,,Normal,2,3,3,,,
634071,Blue Fin Harpoon,Blue Fin Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634071_200w.jpg,62,24334,https://cpt.tcgcsv.com/rF57,2025-06-02T04:10:11.88,1,Promo,GEM054,Action,Arrow Attack,Ranger;Pirate,4,0.86,4.42,9.0,4.39,,Rainbow Foil,2,3,3,,,
634072,Red Fin Harpoon,Red Fin Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634072_200w.jpg,62,24334,https://cpt.tcgcsv.com/sF57,2025-06-02T04:10:11.88,1,Promo,GEM055,Action,Arrow Attack,Ranger;Pirate,4,2.0,2.9,29.9,2.82,,Rainbow Foil,2,3,3,,,
634072,Red Fin Harpoon,Red Fin Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634072_200w.jpg,62,24334,https://cpt.tcgcsv.com/sF57,2025-06-02T04:10:11.88,1,Promo,GEM055,Action,Arrow Attack,Ranger;Pirate,4,0.3,0.75,4.5,0.53,,Normal,2,3,3,,,
634073,Yellow Fin Harpoon,Yellow Fin Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634073_200w.jpg,62,24334,https://cpt.tcgcsv.com/tF57,2025-06-02T04:10:11.88,1,Promo,GEM056,Action,Arrow Attack,Ranger;Pirate,4,3.0,3.48,49.99,3.54,,Rainbow Foil,2,3,3,,,
634073,Yellow Fin Harpoon,Yellow Fin Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634073_200w.jpg,62,24334,https://cpt.tcgcsv.com/tF57,2025-06-02T04:10:11.88,1,Promo,GEM056,Action,Arrow Attack,Ranger;Pirate,4,0.2,0.91,4.5,0.63,,Normal,2,3,3,,,
634074,Rusty Harpoon,Rusty Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634074_200w.jpg,62,24334,https://cpt.tcgcsv.com/vF57,2025-06-02T04:10:11.88,1,Promo,GEM057,Action,Arrow Attack,Ranger;Pirate,1,0.24,1.0,9.99,0.61,,Rainbow Foil,0,3,3,,,
634074,Rusty Harpoon,Rusty Harpoon,https://tcgplayer-cdn.tcgplayer.com/product/634074_200w.jpg,62,24334,https://cpt.tcgcsv.com/vF57,2025-06-02T04:10:11.88,1,Promo,GEM057,Action,Arrow Attack,Ranger;Pirate,1,0.25,0.58,2.9,0.54,,Normal,0,3,3,,,
634075,Dry Powder Shot,Dry Powder Shot,https://tcgplayer-cdn.tcgplayer.com/product/634075_200w.jpg,62,24334,https://cpt.tcgcsv.com/wF57,2025-06-02T04:10:11.88,1,Promo,GEM059,Action,Arrow Attack,Ranger,3,1.5,1.88,8.75,1.77,,Rainbow Foil,0,1,3,,,
634075,Dry Powder Shot,Dry Powder Shot,https://tcgplayer-cdn.tcgplayer.com/product/634075_200w.jpg,62,24334,https://cpt.tcgcsv.com/wF57,2025-06-02T04:10:11.88,1,Promo,GEM059,Action,Arrow Attack,Ranger,3,0.25,0.64,4.88,0.63,,Normal,0,1,3,,,
634076,Entangling Shot,Entangling Shot,https://tcgplayer-cdn.tcgplayer.com/product/634076_200w.jpg,62,24334,https://cpt.tcgcsv.com/xF57,2025-06-02T04:10:11.88,1,Promo,GEM060,Action,Arrow Attack,Ranger,4,0.15,0.99,4.29,0.5,,Rainbow Foil,0,1,3,,,
634076,Entangling Shot,Entangling Shot,https://tcgplayer-cdn.tcgplayer.com/product/634076_200w.jpg,62,24334,https://cpt.tcgcsv.com/xF57,2025-06-02T04:10:11.88,1,Promo,GEM060,Action,Arrow Attack,Ranger,4,0.14,0.49,4.5,0.26,,Normal,0,1,3,,,
634077,Swift Shot,Swift Shot,https://tcgplayer-cdn.tcgplayer.com/product/634077_200w.jpg,62,24334,https://cpt.tcgcsv.com/zF57,2025-06-02T04:10:11.88,1,Promo,GEM061,Action,Arrow Attack,Ranger,4,0.23,0.6,3.88,0.67,,Normal,0,1,3,,,
634077,Swift Shot,Swift Shot,https://tcgplayer-cdn.tcgplayer.com/product/634077_200w.jpg,62,24334,https://cpt.tcgcsv.com/zF57,2025-06-02T04:10:11.88,1,Promo,GEM061,Action,Arrow Attack,Ranger,4,1.25,2.31,5.0,2.12,,Rainbow Foil,0,1,3,,,
634078,Bolt'n Shot (Red),Boltn Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/634078_200w.jpg,62,24334,https://cpt.tcgcsv.com/BF57,2025-06-02T04:10:11.88,1,Promo,GEM058,Action,Arrow Attack,Ranger,4,1.88,3.19,13.99,2.29,,Normal,1,1,3,,,
634079,Fiddler's Green (Red),Fiddlers Green Red,https://tcgplayer-cdn.tcgplayer.com/product/634079_200w.jpg,62,24334,https://cpt.tcgcsv.com/CF57,2025-06-02T04:10:11.88,1,Promo,GEM066,Block,,Generic,,7.0,8.74,25.0,8.89,,Rainbow Foil,,1,1,,,
634079,Fiddler's Green (Red),Fiddlers Green Red,https://tcgplayer-cdn.tcgplayer.com/product/634079_200w.jpg,62,24334,https://cpt.tcgcsv.com/CF57,2025-06-02T04:10:11.88,1,Promo,GEM066,Block,,Generic,,1.5,4.4,11.0,4.16,,Normal,,1,1,,,
634080,Nimby (Red),Nimby Red,https://tcgplayer-cdn.tcgplayer.com/product/634080_200w.jpg,62,24334,https://cpt.tcgcsv.com/DF57,2025-06-02T04:10:11.88,1,Promo,GEM062,Action,Attack,Generic,3,0.36,1.02,4.99,0.99,,Normal,0,1,2,,,
634080,Nimby (Red),Nimby Red,https://tcgplayer-cdn.tcgplayer.com/product/634080_200w.jpg,62,24334,https://cpt.tcgcsv.com/DF57,2025-06-02T04:10:11.88,1,Promo,GEM062,Action,Attack,Generic,3,0.75,1.4,5.97,1.55,,Rainbow Foil,0,1,2,,,
634081,Sirens of Safe Harbor (Red),Sirens of Safe Harbor Red,https://tcgplayer-cdn.tcgplayer.com/product/634081_200w.jpg,62,24334,https://cpt.tcgcsv.com/FF57,2025-06-02T04:10:11.88,1,Promo,GEM063,Action,Attack,Generic,6,6.0,8.62,11.25,8.25,,Rainbow Foil,2,1,2,,,
634081,Sirens of Safe Harbor (Red),Sirens of Safe Harbor Red,https://tcgplayer-cdn.tcgplayer.com/product/634081_200w.jpg,62,24334,https://cpt.tcgcsv.com/FF57,2025-06-02T04:10:11.88,1,Promo,GEM063,Action,Attack,Generic,6,2.22,3.5,7.75,2.29,,Normal,2,1,2,,,
634082,Strike Gold (Red),Strike Gold Red,https://tcgplayer-cdn.tcgplayer.com/product/634082_200w.jpg,62,24334,https://cpt.tcgcsv.com/GF57,2025-06-02T04:10:11.88,1,Promo,GEM064,Action,Attack,Generic,4,0.2,0.44,1.69,0.44,,Normal,0,1,2,,,
634082,Strike Gold (Red),Strike Gold Red,https://tcgplayer-cdn.tcgplayer.com/product/634082_200w.jpg,62,24334,https://cpt.tcgcsv.com/GF57,2025-06-02T04:10:11.88,1,Promo,GEM064,Action,Attack,Generic,4,0.25,0.66,3.99,0.63,,Rainbow Foil,0,1,2,,,
634083,Nimblism (Red),Nimblism Red,https://tcgplayer-cdn.tcgplayer.com/product/634083_200w.jpg,62,24334,https://cpt.tcgcsv.com/HF57,2025-06-02T04:10:11.88,1,Promo,GEM065,Action,,Generic,,1.5,3.28,4.5,1.73,,Normal,0,1,2,,,
634083,Nimblism (Red),Nimblism Red,https://tcgplayer-cdn.tcgplayer.com/product/634083_200w.jpg,62,24334,https://cpt.tcgcsv.com/HF57,2025-06-02T04:10:11.88,1,Promo,GEM065,Action,,Generic,,4.5,8.0,30.7,4.64,,Rainbow Foil,0,1,2,,,
634084,On the Horizon (Red),On the Horizon Red,https://tcgplayer-cdn.tcgplayer.com/product/634084_200w.jpg,62,24334,https://cpt.tcgcsv.com/JF57,2025-06-02T04:10:11.88,1,Promo,GEM067,Block,,Generic,,1.23,3.25,9.49,2.6,,Normal,,1,4,,,
634084,On the Horizon (Red),On the Horizon Red,https://tcgplayer-cdn.tcgplayer.com/product/634084_200w.jpg,62,24334,https://cpt.tcgcsv.com/JF57,2025-06-02T04:10:11.88,1,Promo,GEM067,Block,,Generic,,7.0,9.13,11.99,7.01,,Rainbow Foil,,1,4,,,
634085,"Riptide, Lurker of the Deep (Marvel)",Riptide Lurker of the Deep Marvel,https://tcgplayer-cdn.tcgplayer.com/product/634085_200w.jpg,62,24334,https://cpt.tcgcsv.com/KF57,2025-06-02T04:10:11.88,2,Token,GEM033,Hero,,Ranger,,40.0,49.99,107.74,42.31,,Cold Foil,,,,38,4,
634086,Claw of Vynserakai,Claw of Vynserakai,https://tcgplayer-cdn.tcgplayer.com/product/634086_200w.jpg,62,24334,https://cpt.tcgcsv.com/LF57,2025-06-02T04:10:11.88,1,Promo,GEM034,Weapon,Dagger (1H),,1,16.2,21.0,61.79,39.01,,Cold Foil,,,,,,Draconic
634087,Boom Grenade (Red),Boom Grenade Red,https://tcgplayer-cdn.tcgplayer.com/product/634087_200w.jpg,62,24334,https://cpt.tcgcsv.com/MF57,2025-06-02T04:10:11.88,1,Promo,GEM040,Action,Item,Mechanologist,,4.68,7.97,29.99,4.75,,Cold Foil,0,1,,,,
634088,Hunter's Klaive,Hunters Klaive,https://tcgplayer-cdn.tcgplayer.com/product/634088_200w.jpg,62,24334,https://cpt.tcgcsv.com/NF57,2025-09-16T17:22:33.367,1,Promo,GEM068,Weapon,Dagger (1H),Assassin,1,12.96,15.08,23.23,14.52,,Normal,,,,,,
