productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extDefenseValue,extCost,extPitchValue
617887,Arakni,Arakni,https://tcgplayer-cdn.tcgplayer.com/product/617887_200w.jpg,62,24212,https://cpt.tcgcsv.com/M9Z6,2025-02-10T16:25:22.797,1,Marvel,ARK001,Hero,Young,Assassin,4,20,5.38,5.7,6.73,,,Normal,,,,
617890,Spider's Bite,Spiders Bite,https://tcgplayer-cdn.tcgplayer.com/product/617890_200w.jpg,62,24212,https://cpt.tcgcsv.com/Q9Z6,2025-03-03T20:42:57.157,1,Common,ARK002,Weapon,Dagger (1H),Assassin,,,0.21,0.7,1.0,0.22,,Normal,1,,,
617892,Mask of Perdition,Mask of Perdition,https://tcgplayer-cdn.tcgplayer.com/product/617892_200w.jpg,62,24212,https://cpt.tcgcsv.com/S9Z6,2025-02-10T16:32:49.317,1,Majestic,ARK003,Equipment,Head,Assassin,,,2.1,2.25,4.0,2.17,,Normal,1,,,
617894,Leap Frog Slime Skin,Leap Frog Slime Skin,https://tcgplayer-cdn.tcgplayer.com/product/617894_200w.jpg,62,24212,https://cpt.tcgcsv.com/V9Z6,2025-02-10T16:33:39.87,1,Common,ARK004,Equipment,Chest,Ninja;Assassin,,,0.48,0.48,0.5,0.5,,Normal,,1,,
617896,Danger Digits,Danger Digits,https://tcgplayer-cdn.tcgplayer.com/product/617896_200w.jpg,62,24212,https://cpt.tcgcsv.com/X9Z6,2025-02-10T16:35:49.513,1,Common,ARK005,Equipment,Arms,Ninja;Assassin,,,0.28,0.3,0.5,0.29,,Normal,,0,,
617898,Starting Point,Starting Point,https://tcgplayer-cdn.tcgplayer.com/product/617898_200w.jpg,62,24212,https://cpt.tcgcsv.com/-9Z6,2025-02-10T16:36:47.35,1,Common,ARK006,Equipment,Legs,Warrior;Assassin,,,0.05,0.2,0.5,,,Normal,,0,,
617907,The Hand that Pulls the Strings,The Hand that Pulls the Strings,https://tcgplayer-cdn.tcgplayer.com/product/617907_200w.jpg,62,24212,https://cpt.tcgcsv.com/9bZ6,2025-02-10T17:10:07.013,1,Majestic,ARK007,Mentor,,,,,4.3,5.38,6.14,6.13,,Normal,,4,,
617909,Annihilate the Armed (Red),Annihilate the Armed Red,https://tcgplayer-cdn.tcgplayer.com/product/617909_200w.jpg,62,24212,https://cpt.tcgcsv.com/cbZ6,2025-02-10T16:48:03.21,1,Common,ARK008,Action,Attack,Assassin,,,0.25,0.36,0.5,0.38,,Normal,5,3,1,1
617911,Fleece the Frail (Red),Fleece the Frail Red,https://tcgplayer-cdn.tcgplayer.com/product/617911_200w.jpg,62,24212,https://cpt.tcgcsv.com/fbZ6,2025-03-03T19:52:25.143,1,Common,ARK009,Action,Attack,Assassin,,,0.19,0.2,0.5,0.2,,Normal,4,3,0,1
617913,Nix the Nimble (Red),Nix the Nimble Red,https://tcgplayer-cdn.tcgplayer.com/product/617913_200w.jpg,62,24212,https://cpt.tcgcsv.com/hbZ6,2025-03-03T20:08:00.163,1,Common,ARK010,Action,Attack,Assassin,,,0.19,0.23,0.5,0.2,,Normal,5,3,1,1
617915,Plunder the Poor (Red),Plunder the Poor Red,https://tcgplayer-cdn.tcgplayer.com/product/617915_200w.jpg,62,24212,https://cpt.tcgcsv.com/kbZ6,2025-02-10T16:50:47.74,1,Rare,ARK011,Action,Attack,Assassin,,,0.7,1.0,1.0,0.85,,Normal,4,3,0,1
617917,Sack the Shifty (Red),Sack the Shifty Red,https://tcgplayer-cdn.tcgplayer.com/product/617917_200w.jpg,62,24212,https://cpt.tcgcsv.com/mbZ6,2025-02-10T16:51:37.527,1,Common,ARK012,Action,Attack,Assassin,,,0.2,0.23,0.5,,,Normal,4,3,0,1
617935,Slay the Scholars (Red),Slay the Scholars Red,https://tcgplayer-cdn.tcgplayer.com/product/617935_200w.jpg,62,24212,https://cpt.tcgcsv.com/KbZ6,2025-02-10T17:28:21.117,1,Common,ARK013,Action,Attack,Assassin,,,0.35,0.4,0.5,0.38,,Normal,4,3,0,1
617937,Cut to the Chase (Red) (Extended Art),Cut to the Chase Red Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/617937_200w.jpg,62,24212,https://cpt.tcgcsv.com/MbZ6,2025-02-10T17:29:40.357,1,Common,ARK014,Attack Reaction,,Assassin,,,1.55,1.77,5.0,2.41,,Normal,,3,0,1
