productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extTalent,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText
591273,The Hunted Booster Box Case,The Hunted Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/591273_200w.jpg,62,23815,https://cpt.tcgcsv.com/twL6,2025-01-31T05:10:13.37,1,474.99,559.95,599.99,520.85,,Normal,,,,,,,,,,,,,
591274,The Hunted Booster Box,The Hunted Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/591274_200w.jpg,62,23815,https://cpt.tcgcsv.com/vwL6,2025-04-23T13:52:08.707,1,109.99,129.84,209.41,121.36,,Normal,,,,,,,,,,,,,
591297,The Hunted Booster Pack,The Hunted Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/591297_200w.jpg,62,23815,https://cpt.tcgcsv.com/ZwL6,2025-01-31T05:10:13.37,1,4.94,6.39,8.0,7.15,,Normal,,,,,,,,,,,,,
591299,The Hunted Blitz Deck Collection Box,The Hunted Blitz Deck Collection Box,https://tcgplayer-cdn.tcgplayer.com/product/591299_200w.jpg,62,23815,https://cpt.tcgcsv.com/_wL6,2025-01-31T05:10:13.37,1,55.97,72.37,160.0,63.86,,Normal,,,,,,,,,,,,,
606622,"Arakni, Marionette",Arakni Marionette,https://tcgplayer-cdn.tcgplayer.com/product/606622_200w.jpg,62,23815,https://cpt.tcgcsv.com/sGS6,2025-01-31T05:10:13.37,1,0.23,0.75,2.02,0.43,,Normal,Majestic,HNT001,Hero,Assassin,4,40,,,,,,,
606624,"Arakni, Marionette (Marvel)",Arakni Marionette Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606624_200w.jpg,62,23815,https://cpt.tcgcsv.com/vGS6,2025-01-31T05:10:13.37,1,,,,,,,Marvel,HNT001,,,4,40,,,,,,,
606673,"Arakni, Web of Deceit (Marvel)",Arakni Web of Deceit Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606673_200w.jpg,62,23815,https://cpt.tcgcsv.com/tHS6,2025-01-31T05:10:13.37,1,57.0,68.4,73.0,46.2,,Cold Foil,Marvel,HNT002,Hero,Assassin,4,20,Young,Chaos,,,,,
606681,"Arakni, Black Widow (Marvel)",Arakni Black Widow Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606681_200w.jpg,62,23815,https://cpt.tcgcsv.com/FHS6,2025-01-31T05:10:13.37,1,60.0,69.0,119.99,60.43,,Cold Foil,Marvel,HNT003,Hero,Assassin,4,*,,Chaos,,,,,
606690,"Arakni, Funnel Web (Marvel)",Arakni Funnel Web Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606690_200w.jpg,62,23815,https://cpt.tcgcsv.com/QHS6,2025-01-31T05:10:13.37,1,28.0,32.5,36.0,31.79,,Cold Foil,Marvel,HNT004,Hero,Assassin,4,*,,Chaos,,,,,
606692,"Arakni, Orb-Weaver (Marvel)",Arakni Orb Weaver Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606692_200w.jpg,62,23815,https://cpt.tcgcsv.com/SHS6,2025-01-31T05:10:13.37,1,28.6,31.59,92.99,28.36,,Cold Foil,Marvel,HNT005,,Assassin,4,*,,Chaos,,,,,
606700,"Arakni, Redback (Marvel)",Arakni Redback Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606700_200w.jpg,62,23815,https://cpt.tcgcsv.com/0JS6,2025-01-31T05:10:13.37,1,46.0,49.36,119.99,47.37,,Cold Foil,Marvel,HNT006,Hero,Assassin,4,*,,,,,,,
606702,"Arakni, Tarantula (Marvel)",Arakni Tarantula Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606702_200w.jpg,62,23815,https://cpt.tcgcsv.com/3JS6,2025-01-31T05:10:13.37,1,46.0,52.0,61.67,38.73,,Cold Foil,Marvel,HNT007,Hero,Assassin,4,*,,Chaos,,,,,
606720,"Arakni, Trap-Door (Marvel)",Arakni Trap Door Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606720_200w.jpg,62,23815,https://cpt.tcgcsv.com/qJS6,2025-01-31T05:10:13.37,1,27.49,33.0,41.0,28.82,,Cold Foil,Marvel,HNT008,Hero,Assassin,4,*,,Chaos,,,,,
606722,Tarantula Toxin,Tarantula Toxin,https://tcgplayer-cdn.tcgplayer.com/product/606722_200w.jpg,62,23815,https://cpt.tcgcsv.com/sJS6,2025-01-31T19:06:35.34,1,18.95,19.99,24.99,11.15,,Rainbow Foil,Majestic,HNT015,Attack Reaction,Assassin,,,,,0,1,3,,
606722,Tarantula Toxin,Tarantula Toxin,https://tcgplayer-cdn.tcgplayer.com/product/606722_200w.jpg,62,23815,https://cpt.tcgcsv.com/sJS6,2025-01-31T19:06:35.34,1,18.39,18.78,25.0,10.89,,Normal,Majestic,HNT015,Attack Reaction,Assassin,,,,,0,1,3,,
606727,"Cindra, Dracai of Retribution (Marvel)",Cindra Dracai of Retribution Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606727_200w.jpg,62,23815,https://cpt.tcgcsv.com/zJS6,2025-01-31T05:10:13.37,1,162.89,177.8,300.0,178.46,,Cold Foil,Marvel,HNT054,Hero,Ninja,4,40,,Draconic;Royal,,,,,
606729,Cindra (Marvel),Cindra Marvel,https://tcgplayer-cdn.tcgplayer.com/product/606729_200w.jpg,62,23815,https://cpt.tcgcsv.com/CJS6,2025-01-31T05:10:13.37,1,69.99,84.47,129.99,33.4,,Cold Foil,Marvel,HNT055,Hero,Ninja,4,20,Young,Draconic;Royal,,,,,
