productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extPitchValue,extDefenseValue,extCardSubType,extCost,extPower,extFlavorText
587210,Armory Deck: Jarl Vetreidi,Armory Deck Jarl Vetreidi,https://tcgplayer-cdn.tcgplayer.com/product/587210_200w.jpg,62,23771,https://cpt.tcgcsv.com/dVJ6,2024-11-29T05:10:14.21,1,75.0,83.39,119.99,72.77,,Normal,,,,,,,,,,,,,
587212,Jarl Vetreidi,Jarl Vetreidi,https://tcgplayer-cdn.tcgplayer.com/product/587212_200w.jpg,62,23771,https://cpt.tcgcsv.com/gVJ6,2024-11-29T05:10:14.21,1,3.53,3.69,6.11,3.64,,Normal,Majestic,AJV001,Hero,Guardian,Elemental,4,40,,,,,,
587213,Unforgetting Unforgiving,Unforgetting Unforgiving,https://tcgplayer-cdn.tcgplayer.com/product/587213_200w.jpg,62,23771,https://cpt.tcgcsv.com/hVJ6,2024-11-29T05:10:14.21,1,0.92,2.03,6.98,0.96,,Normal,Majestic,AJV013,Block,Guardian,,,,1,4,,,,
587213,Unforgetting Unforgiving,Unforgetting Unforgiving,https://tcgplayer-cdn.tcgplayer.com/product/587213_200w.jpg,62,23771,https://cpt.tcgcsv.com/hVJ6,2024-11-29T05:10:14.21,1,1.05,3.0,8.95,1.34,,Rainbow Foil,Majestic,AJV013,Block,Guardian,,,,1,4,,,,
587215,Crumble to Eternity,Crumble to Eternity,https://tcgplayer-cdn.tcgplayer.com/product/587215_200w.jpg,62,23771,https://cpt.tcgcsv.com/kVJ6,2024-12-02T19:36:01.423,1,5.18,8.74,17.0,6.5,,Rainbow Foil,Majestic,AJV018,Action,,Earth;Ice,,,3,3,Aura,0,,
587215,Crumble to Eternity,Crumble to Eternity,https://tcgplayer-cdn.tcgplayer.com/product/587215_200w.jpg,62,23771,https://cpt.tcgcsv.com/kVJ6,2024-12-02T19:36:01.423,1,3.0,4.89,14.41,4.14,,Normal,Majestic,AJV018,Action,,Earth;Ice,,,3,3,Aura,0,,
587216,Channel Mount Isen,Channel Mount Isen,https://tcgplayer-cdn.tcgplayer.com/product/587216_200w.jpg,62,23771,https://cpt.tcgcsv.com/lVJ6,2024-11-29T05:10:14.21,1,3.0,5.72,17.0,5.04,,Rainbow Foil,Majestic,AJV017,Action,,Ice,,,3,3,Aura,0,,
587216,Channel Mount Isen,Channel Mount Isen,https://tcgplayer-cdn.tcgplayer.com/product/587216_200w.jpg,62,23771,https://cpt.tcgcsv.com/lVJ6,2024-11-29T05:10:14.21,1,2.49,4.74,12.95,1.66,,Normal,Majestic,AJV017,Action,,Ice,,,3,3,Aura,0,,
593961,Gauntlets of the Boreal Domain,Gauntlets of the Boreal Domain,https://tcgplayer-cdn.tcgplayer.com/product/593961_200w.jpg,62,23771,https://cpt.tcgcsv.com/fCM6,2024-12-05T19:53:16.36,1,3.99,6.0,39.99,4.21,,Rainbow Foil,Legendary,AJV006,Equipment,Guardian,Earth;Ice,,,,2,Arms,,,
593962,"Summit, the Unforgiving",Summit the Unforgiving,https://tcgplayer-cdn.tcgplayer.com/product/593962_200w.jpg,62,23771,https://cpt.tcgcsv.com/gCM6,2024-11-29T05:10:14.21,1,0.75,1.08,19.99,1.0,,Rainbow Foil,Majestic,AJV002,Weapon,Guardian,Earth;Ice,,,,,,,4,
593963,Ollin Ice Cap,Ollin Ice Cap,https://tcgplayer-cdn.tcgplayer.com/product/593963_200w.jpg,62,23771,https://cpt.tcgcsv.com/hCM6,2025-03-17T21:39:37.613,1,0.75,1.0,8.98,0.95,,Rainbow Foil,Majestic,AJV004,Equipment,Guardian,Ice,,,,1,Head,,,
593964,Tectonic Crust,Tectonic Crust,https://tcgplayer-cdn.tcgplayer.com/product/593964_200w.jpg,62,23771,https://cpt.tcgcsv.com/jCM6,2025-03-17T21:40:26.12,1,0.45,1.0,14.99,0.89,,Rainbow Foil,Majestic,AJV005,Equipment,Guardian,Earth,,,,2,Chest,,,
593965,Root-Bound Trunks,Root Bound Trunks,https://tcgplayer-cdn.tcgplayer.com/product/593965_200w.jpg,62,23771,https://cpt.tcgcsv.com/kCM6,2025-03-17T21:22:59.27,1,0.88,1.16,14.99,1.25,,Rainbow Foil,Majestic,AJV007,Equipment,Guardian,Earth,,,,1,Legs,,,
593966,Frozen to Death,Frozen to Death,https://tcgplayer-cdn.tcgplayer.com/product/593966_200w.jpg,62,23771,https://cpt.tcgcsv.com/lCM6,2025-03-17T21:16:49.3,1,2.5,3.33,11.87,3.34,,Normal,Majestic,AJV020,Action,Guardian,Ice,,,3,3,,3,,
