productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDefenseValue,extCost,extPitchValue,extPower
577230,Oscilio,Oscilio,https://tcgplayer-cdn.tcgplayer.com/product/577230_200w.jpg,62,23744,https://cpt.tcgcsv.com/DVD6,2024-09-20T04:08:44,1,Rare,OSC001,Hero,Young,Wizard,Elemental,4,18,2.5,3.33,15.0,3.35,,Rainbow Foil,,,,
577231,"Volzar, the Lightning Rod",Volzar the Lightning Rod,https://tcgplayer-cdn.tcgplayer.com/product/577231_200w.jpg,62,23744,https://cpt.tcgcsv.com/FVD6,2024-09-20T04:08:44,1,Common,OSC002,Weapon,Staff (2H),Wizard,Lightning,,,2.62,3.81,5.0,2.61,,Normal,,,,
577232,Flash of Brilliance,Flash of Brilliance,https://tcgplayer-cdn.tcgplayer.com/product/577232_200w.jpg,62,23744,https://cpt.tcgcsv.com/GVD6,2024-09-20T04:08:44,1,Common,OSC003,Equipment,Head,,Lightning,,,0.24,0.25,0.3,,,Normal,1,,,
577233,Ink-lined Cloak,Ink lined Cloak,https://tcgplayer-cdn.tcgplayer.com/product/577233_200w.jpg,62,23744,https://cpt.tcgcsv.com/HVD6,2024-09-20T04:08:44,1,Common,OSC004,Equipment,Chest,Wizard,,,,0.09,0.25,0.3,,,Normal,0,,,
577234,Hold Focus,Hold Focus,https://tcgplayer-cdn.tcgplayer.com/product/577234_200w.jpg,62,23744,https://cpt.tcgcsv.com/JVD6,2024-09-20T04:08:44,1,Common,OSC005,Equipment,Arms,Wizard,,,,0.15,0.25,0.3,0.15,,Normal,0,,,
577235,Twinkle Toes,Twinkle Toes,https://tcgplayer-cdn.tcgplayer.com/product/577235_200w.jpg,62,23744,https://cpt.tcgcsv.com/KVD6,2024-09-20T04:08:44,1,Common,OSC006,Equipment,Legs,,Lightning,,,0.08,0.25,0.3,0.15,,Normal,0,,,
577236,Blast to Oblivion (Red),Blast to Oblivion Red,https://tcgplayer-cdn.tcgplayer.com/product/577236_200w.jpg,62,23744,https://cpt.tcgcsv.com/LVD6,2024-09-20T04:08:44,1,Rare,OSC007,Action,Attack,,Lightning,,,0.18,0.24,0.3,0.18,,Normal,2,0,1,4
577237,Flittering Charge (Red),Flittering Charge Red,https://tcgplayer-cdn.tcgplayer.com/product/577237_200w.jpg,62,23744,https://cpt.tcgcsv.com/MVD6,2024-09-20T04:08:44,1,Common,OSC008,Action,Attack,,Lightning,,,0.12,0.22,0.3,,,Normal,2,0,1,4
577238,Fry (Red),Fry Red,https://tcgplayer-cdn.tcgplayer.com/product/577238_200w.jpg,62,23744,https://cpt.tcgcsv.com/NVD6,2024-09-20T04:08:44,1,Common,OSC009,Action,Attack,,Lightning,,,0.24,0.25,0.3,0.15,,Normal,0,0,1,3
577239,Lightning Surge (Red),Lightning Surge Red,https://tcgplayer-cdn.tcgplayer.com/product/577239_200w.jpg,62,23744,https://cpt.tcgcsv.com/PVD6,2024-09-20T04:08:44,1,Common,OSC010,Action,Attack,,Lightning,,,0.12,0.22,0.3,,,Normal,2,0,1,4
577240,Aether Quickening (Red),Aether Quickening Red,https://tcgplayer-cdn.tcgplayer.com/product/577240_200w.jpg,62,23744,https://cpt.tcgcsv.com/QVD6,2024-09-20T04:08:44,1,Common,OSC011,Action,,Wizard,,,,0.1,0.25,0.3,0.1,,Normal,3,1,1,
577241,Arcane Twining (Red),Arcane Twining Red,https://tcgplayer-cdn.tcgplayer.com/product/577241_200w.jpg,62,23744,https://cpt.tcgcsv.com/RVD6,2024-09-20T04:08:44,1,Common,OSC012,Action,,Wizard,,,,0.15,0.24,0.3,0.15,,Normal,3,0,1,
577242,Comet Storm // Shock,Comet Storm Shock,https://tcgplayer-cdn.tcgplayer.com/product/577242_200w.jpg,62,23744,https://cpt.tcgcsv.com/SVD6,2024-09-20T04:08:44,1,Rare,OSC013,Action;Instant,,Wizard,Lightning,,,0.24,0.25,0.9,0.23,,Normal,3,2,1,
577243,Etchings of Arcana (Red),Etchings of Arcana Red,https://tcgplayer-cdn.tcgplayer.com/product/577243_200w.jpg,62,23744,https://cpt.tcgcsv.com/TVD6,2024-09-20T04:08:44,1,Common,OSC014,Action,,Wizard,,,,6.45,7.5,8.12,7.92,,Normal,3,0,1,
577244,Exploding Aether (Red),Exploding Aether Red,https://tcgplayer-cdn.tcgplayer.com/product/577244_200w.jpg,62,23744,https://cpt.tcgcsv.com/VVD6,2024-09-20T04:08:44,1,Common,OSC015,Action,,Wizard,,,,0.15,0.24,0.3,,,Normal,2,2,1,
577245,Flash (Red),Flash Red,https://tcgplayer-cdn.tcgplayer.com/product/577245_200w.jpg,62,23744,https://cpt.tcgcsv.com/WVD6,2024-09-20T04:08:44,1,Common,OSC016,Action,,,Lightning,,,0.15,0.22,0.3,,,Normal,2,0,1,
577246,Glyph Overlay (Red),Glyph Overlay Red,https://tcgplayer-cdn.tcgplayer.com/product/577246_200w.jpg,62,23744,https://cpt.tcgcsv.com/XVD6,2024-09-20T04:08:44,1,Rare,OSC017,Action,,Wizard,,,,0.25,0.3,1.0,0.25,,Normal,3,1,1,
577247,Photon Splicing (Red),Photon Splicing Red,https://tcgplayer-cdn.tcgplayer.com/product/577247_200w.jpg,62,23744,https://cpt.tcgcsv.com/ZVD6,2024-09-20T04:08:44,1,Common,OSC018,Action,,Wizard,,,,0.21,0.25,0.3,0.21,,Normal,3,1,1,
577248,Trailblazing Aether (Red),Trailblazing Aether Red,https://tcgplayer-cdn.tcgplayer.com/product/577248_200w.jpg,62,23744,https://cpt.tcgcsv.com/-VD6,2024-09-20T04:08:44,1,Common,OSC019,Action,,Wizard,,,,0.15,0.22,0.3,,,Normal,3,0,1,
577249,Electrostatic Discharge (Red),Electrostatic Discharge Red,https://tcgplayer-cdn.tcgplayer.com/product/577249_200w.jpg,62,23744,https://cpt.tcgcsv.com/_VD6,2024-09-20T04:08:44,1,Common,OSC020,Instant,,,Lightning,,,0.15,0.24,0.3,,,Normal,,0,1,
577250,Etchings of Arcana (Yellow),Etchings of Arcana Yellow,https://tcgplayer-cdn.tcgplayer.com/product/577250_200w.jpg,62,23744,https://cpt.tcgcsv.com/0WD6,2024-09-20T04:08:44,1,Common,OSC021,Action,,Wizard,,,,2.9,3.0,4.0,3.28,,Normal,3,0,2,
577251,Chorus of the Amphitheater (Blue),Chorus of the Amphitheater Blue,https://tcgplayer-cdn.tcgplayer.com/product/577251_200w.jpg,62,23744,https://cpt.tcgcsv.com/2WD6,2024-09-20T04:08:44,1,Rare,OSC022,Action,,Wizard,,,,0.2,0.25,0.3,0.2,,Normal,2,2,3,
577252,Etchings of Arcana (Blue),Etchings of Arcana Blue,https://tcgplayer-cdn.tcgplayer.com/product/577252_200w.jpg,62,23744,https://cpt.tcgcsv.com/3WD6,2024-09-20T04:08:44,1,Common,OSC023,Action,,Wizard,,,,2.5,3.12,5.0,2.94,,Normal,3,0,3,
577253,Sigil of Conductivity,Sigil of Conductivity,https://tcgplayer-cdn.tcgplayer.com/product/577253_200w.jpg,62,23744,https://cpt.tcgcsv.com/5WD6,2024-09-20T04:08:44,1,Rare,OSC024,Instant,Aura,,Lightning,,,0.24,0.25,5.0,0.2,,Normal,,0,3,
577254,Sigil of Forethought,Sigil of Forethought,https://tcgplayer-cdn.tcgplayer.com/product/577254_200w.jpg,62,23744,https://cpt.tcgcsv.com/6WD6,2024-09-20T04:08:44,1,Common,OSC025,Instant,Aura,Wizard,,,,0.12,0.2,0.3,,,Normal,,0,3,
577255,Sigil of Lightning,Sigil of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/577255_200w.jpg,62,23744,https://cpt.tcgcsv.com/7WD6,2024-09-20T04:08:44,1,Common,OSC026,Instant,Aura,,Lightning,,,0.11,0.2,0.3,,,Normal,,0,3,
577256,Embodiment of Lightning,Embodiment of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/577256_200w.jpg,62,23744,https://cpt.tcgcsv.com/8WD6,2024-09-20T04:08:44,1,Token,OSC027,Token,Aura,,Elemental,,,0.15,0.2,0.3,0.15,,Normal,,,,
577257,Ponder,Ponder,https://tcgplayer-cdn.tcgplayer.com/product/577257_200w.jpg,62,23744,https://cpt.tcgcsv.com/9WD6,2024-09-20T04:08:44,1,Token,OSC029,Token,Aura,Generic,,,,0.25,0.3,0.3,0.25,,Normal,,,,
581070,Sanctuary of Aria,Sanctuary of Aria,https://tcgplayer-cdn.tcgplayer.com/product/581070_200w.jpg,62,23744,https://cpt.tcgcsv.com/qrG6,2024-09-20T04:08:44,1,None,OSC028,Macro,,,,,,0.15,0.2,0.3,,,Normal,,,,
586042,Rosetta Blitz Deck - Oscilio,Rosetta Blitz Deck Oscilio,https://tcgplayer-cdn.tcgplayer.com/product/586042_200w.jpg,62,23744,https://cpt.tcgcsv.com/SqJ6,2024-12-27T21:27:33.42,1,,,,,,,,,15.0,16.5,19.99,14.24,,Normal,,,,
