productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue
557180,1st Strike Blitz Deck - Aurora,1st Strike Blitz Deck Aurora,https://tcgplayer-cdn.tcgplayer.com/product/557180_200w.jpg,62,23548,https://cpt.tcgcsv.com/DTs6,2024-08-23T04:08:14.833,1,6.0,11.48,20.54,9.79,,Normal,,,,,,,,,,,,
557181,1st Strike Blitz Deck - Terra,1st Strike Blitz Deck Terra,https://tcgplayer-cdn.tcgplayer.com/product/557181_200w.jpg,62,23548,https://cpt.tcgcsv.com/FTs6,2024-08-23T04:08:14.833,1,12.75,18.39,22.95,16.41,,Normal,,,,,,,,,,,,
557182,1st Strike Blitz Deck Display,1st Strike Blitz Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/557182_200w.jpg,62,23548,https://cpt.tcgcsv.com/GTs6,2024-08-23T04:08:14.833,1,57.0,58.7,103.49,57.57,,Normal,,,,,,,,,,,,
561886,Aurora,Aurora,https://tcgplayer-cdn.tcgplayer.com/product/561886_200w.jpg,62,23548,https://cpt.tcgcsv.com/LMv6,2024-10-10T16:36:02.49,1,0.2,0.26,0.99,0.26,,Rainbow Foil,Rare,AUR001,Hero,Young,Runeblade,Elemental,4,20,,,,
561887,Star Fall,Star Fall,https://tcgplayer-cdn.tcgplayer.com/product/561887_200w.jpg,62,23548,https://cpt.tcgcsv.com/MMv6,2024-08-23T04:08:14.833,1,0.25,0.4,2.49,0.33,,Normal,Rare,AUR002,Weapon,Sword (2H),Runeblade,Lightning,,,1,,,
561888,Ironrot Helm (AUR),Ironrot Helm AUR,https://tcgplayer-cdn.tcgplayer.com/product/561888_200w.jpg,62,23548,https://cpt.tcgcsv.com/NMv6,2024-08-23T04:08:14.833,1,0.01,0.25,2.49,,,Normal,Common,AUR003,Equipment,Head,Generic,,,,,1,,
561889,Blossom of Spring (AUR),Blossom of Spring AUR,https://tcgplayer-cdn.tcgplayer.com/product/561889_200w.jpg,62,23548,https://cpt.tcgcsv.com/PMv6,2024-08-23T04:08:14.833,1,1.25,1.64,3.99,1.41,,Normal,Common,AUR004,Equipment,Chest,Generic,,,,,0,,
561890,Aether Crackers,Aether Crackers,https://tcgplayer-cdn.tcgplayer.com/product/561890_200w.jpg,62,23548,https://cpt.tcgcsv.com/QMv6,2024-08-23T04:08:14.833,1,0.1,0.25,4.99,0.18,,Normal,Common,AUR005,Equipment,Arms,Runeblade,,,,,0,,
561891,Ironrot Legs (AUR),Ironrot Legs AUR,https://tcgplayer-cdn.tcgplayer.com/product/561891_200w.jpg,62,23548,https://cpt.tcgcsv.com/RMv6,2024-08-23T04:08:14.833,1,0.05,0.2,2.49,,,Normal,Common,AUR006,Equipment,Legs,Generic,,,,,1,,
561892,Crackling (Red),Crackling Red,https://tcgplayer-cdn.tcgplayer.com/product/561892_200w.jpg,62,23548,https://cpt.tcgcsv.com/SMv6,2024-08-23T04:08:14.833,1,0.2,0.34,2.49,0.31,,Normal,Common,AUR007,Action,Attack,Runeblade,Lightning,,,3,3,0,1
