productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extCost,extPitchValue,extDefenseValue
516503,Round the Table: TCCxLSS Deck Set,Round the Table TCCxLSS Deck Set,https://tcgplayer-cdn.tcgplayer.com/product/516503_200w.jpg,62,23295,https://cpt.tcgcsv.com/5D86,2023-09-29T04:03:14.773,1,39.59,51.38,82.19,35.58,,Normal,,,,,,,,,,,
516504,Round the Table Blitz Deck - The Professor,Round the Table Blitz Deck The Professor,https://tcgplayer-cdn.tcgplayer.com/product/516504_200w.jpg,62,23295,https://cpt.tcgcsv.com/6D86,2023-09-29T04:03:14.773,1,5.5,8.27,19.91,7.39,,Normal,,,,,,,,,,,
516505,Round the Table Blitz Deck - Melody,Round the Table Blitz Deck Melody,https://tcgplayer-cdn.tcgplayer.com/product/516505_200w.jpg,62,23295,https://cpt.tcgcsv.com/7D86,2023-09-29T04:03:14.773,1,6.24,8.13,18.95,7.52,,Normal,,,,,,,,,,,
516506,Round the Table Blitz Deck - Brevant,Round the Table Blitz Deck Brevant,https://tcgplayer-cdn.tcgplayer.com/product/516506_200w.jpg,62,23295,https://cpt.tcgcsv.com/8D86,2023-09-29T04:03:14.773,1,5.5,7.9,14.0,7.9,,Normal,,,,,,,,,,,
516507,Round the Table Blitz Deck - Ira,Round the Table Blitz Deck Ira,https://tcgplayer-cdn.tcgplayer.com/product/516507_200w.jpg,62,23295,https://cpt.tcgcsv.com/9D86,2023-09-29T04:03:14.773,1,15.99,19.18,32.99,18.62,,Normal,,,,,,,,,,,
517456,Professor Teklovossen,Professor Teklovossen,https://tcgplayer-cdn.tcgplayer.com/product/517456_200w.jpg,62,23295,https://cpt.tcgcsv.com/8_86,2023-09-29T04:03:14.773,1,1.19,1.49,7.25,1.46,,Normal,Majestic,TCC001,Hero,Young,Mechanologist,4,20,,,,
517457,Teklo Blaster,Teklo Blaster,https://tcgplayer-cdn.tcgplayer.com/product/517457_200w.jpg,62,23295,https://cpt.tcgcsv.com/9_86,2023-09-29T04:03:14.773,1,0.3,0.72,5.9,0.44,,Cold Foil,Rare,TCC002,Weapon,Gun (2H),Mechanologist,,,2,,,
517459,Proto Base Head,Proto Base Head,https://tcgplayer-cdn.tcgplayer.com/product/517459_200w.jpg,62,23295,https://cpt.tcgcsv.com/c_86,2023-09-29T04:03:14.773,1,0.18,0.25,0.75,0.2,,Normal,Common,TCC003,Equipment,Head;Base,Mechanologist,,,,,,
517460,Proto Base Chest,Proto Base Chest,https://tcgplayer-cdn.tcgplayer.com/product/517460_200w.jpg,62,23295,https://cpt.tcgcsv.com/d_86,2023-09-29T04:03:14.773,1,0.18,0.23,0.75,0.22,,Normal,Common,TCC004,Equipment,Chest;Base,Mechanologist,,,,,,
517461,Proto Base Arms,Proto Base Arms,https://tcgplayer-cdn.tcgplayer.com/product/517461_200w.jpg,62,23295,https://cpt.tcgcsv.com/f_86,2023-09-29T04:03:14.773,1,0.15,0.21,0.75,0.2,,Normal,Common,TCC005,Equipment,Arms;Base,Mechanologist,,,,,,
