productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower,extFlavorText,extTalent
528085,Heavy Hitters Booster Pack,Heavy Hitters Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/528085_200w.jpg,62,23354,https://cpt.tcgcsv.com/Kff6,2024-09-09T18:28:32.697,1,2.99,4.36,29.95,3.56,,Normal,,,,,,,,,,,,,
528086,Heavy Hitters Booster Box,Heavy Hitters Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/528086_200w.jpg,62,23354,https://cpt.tcgcsv.com/Lff6,2024-02-02T05:03:19.723,1,72.08,87.92,134.99,68.3,,Normal,,,,,,,,,,,,,
528087,Heavy Hitters Booster Box Case,Heavy Hitters Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/528087_200w.jpg,62,23354,https://cpt.tcgcsv.com/Mff6,2024-02-02T05:03:19.723,1,269.58,328.88,400.0,279.6,,Normal,,,,,,,,,,,,,
528088,Kassai of the Golden Sand,Kassai of the Golden Sand,https://tcgplayer-cdn.tcgplayer.com/product/528088_200w.jpg,62,23354,https://cpt.tcgcsv.com/Nff6,2025-03-17T20:22:56.55,1,1.0,1.5,8.13,1.48,,Normal,Majestic,HVY090,Hero,Warrior,4,40,,,,,,,
528089,Raise an Army,Raise an Army,https://tcgplayer-cdn.tcgplayer.com/product/528089_200w.jpg,62,23354,https://cpt.tcgcsv.com/Pff6,2025-03-17T20:23:04.37,1,2.99,5.32,26.17,4.38,,Normal,Majestic,HVY105,Action,Warrior,,,0,2,3,,,,
528089,Raise an Army,Raise an Army,https://tcgplayer-cdn.tcgplayer.com/product/528089_200w.jpg,62,23354,https://cpt.tcgcsv.com/Pff6,2025-03-17T20:23:04.37,1,4.48,6.89,25.0,5.56,,Rainbow Foil,Majestic,HVY105,Action,Warrior,,,0,2,3,,,,
528091,Money Where Ya Mouth Is (Red),Money Where Ya Mouth Is Red,https://tcgplayer-cdn.tcgplayer.com/product/528091_200w.jpg,62,23354,https://cpt.tcgcsv.com/Rff6,2025-03-17T20:23:32.047,1,0.1,0.33,1.36,0.26,,Rainbow Foil,Common,HVY235,Action,Generic,,,1,1,2,,,,
528091,Money Where Ya Mouth Is (Red),Money Where Ya Mouth Is Red,https://tcgplayer-cdn.tcgplayer.com/product/528091_200w.jpg,62,23354,https://cpt.tcgcsv.com/Rff6,2025-03-17T20:23:32.047,1,0.01,0.15,5.4,0.1,,Normal,Common,HVY235,Action,Generic,,,1,1,2,,,,
528092,Test of Agility,Test of Agility,https://tcgplayer-cdn.tcgplayer.com/product/528092_200w.jpg,62,23354,https://cpt.tcgcsv.com/Sff6,2025-03-17T20:23:39.267,1,0.08,0.45,2.07,0.1,,Rainbow Foil,Rare,HVY162,Block,Brute;Warrior,,,,1,4,,,,
528092,Test of Agility,Test of Agility,https://tcgplayer-cdn.tcgplayer.com/product/528092_200w.jpg,62,23354,https://cpt.tcgcsv.com/Sff6,2025-03-17T20:23:39.267,1,0.01,0.25,10.99,0.13,,Normal,Rare,HVY162,Block,Brute;Warrior,,,,1,4,,,,
