productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue
532121,Heavy Hitters Blitz Deck - Victor,Heavy Hitters Blitz Deck Victor,https://tcgplayer-cdn.tcgplayer.com/product/532121_200w.jpg,62,23392,https://cpt.tcgcsv.com/rSg6,2024-02-02T05:03:19.723,0,5.99,10.84,23.62,10.78,,Normal,,,,,,,,,,,
537277,Victor Goldmane,victor goldmane,https://tcgplayer-cdn.tcgplayer.com/product/537277_200w.jpg,62,23392,https://cpt.tcgcsv.com/zWj6,2024-02-02T05:03:19.723,1,3.24,4.99,9.99,4.14,,Rainbow Foil,Rare,VIC001,Hero,Young,Guardian,4,20,,,,
537278,Miller's Grindstone,miller s grindstone,https://tcgplayer-cdn.tcgplayer.com/product/537278_200w.jpg,62,23392,https://cpt.tcgcsv.com/BWj6,2024-02-02T05:03:19.723,1,0.2,0.25,7.49,0.2,,Normal,Rare,VIC002,Weapon,Hammer (1H),Guardian,,,4,,,
537279,Stonewall Impasse,stonewall impasse,https://tcgplayer-cdn.tcgplayer.com/product/537279_200w.jpg,62,23392,https://cpt.tcgcsv.com/CWj6,2024-02-02T05:03:19.723,1,0.2,0.25,2.99,0.2,,Normal,Rare,VIC003,Equipment,Off-Hand,Guardian,,,,1,,
537280,Golden Glare,golden glare,https://tcgplayer-cdn.tcgplayer.com/product/537280_200w.jpg,62,23392,https://cpt.tcgcsv.com/DWj6,2024-02-02T05:03:19.723,1,0.15,0.37,4.99,0.15,,Normal,Rare,VIC004,Equipment,Head,Guardian,,,,2,,
537281,Vigor Girth,vigor girth,https://tcgplayer-cdn.tcgplayer.com/product/537281_200w.jpg,62,23392,https://cpt.tcgcsv.com/FWj6,2024-02-02T05:03:19.723,1,0.15,0.25,1.49,,,Normal,Common,VIC005,Equipment,Chest,Guardian;Warrior,,,,1,,
537282,Gauntlet of Might,gauntlet of might,https://tcgplayer-cdn.tcgplayer.com/product/537282_200w.jpg,62,23392,https://cpt.tcgcsv.com/GWj6,2024-02-02T05:03:19.723,1,0.15,0.25,0.99,0.25,,Normal,Common,VIC006,Equipment,Arms,Brute;Guardian,,,,1,,
537283,Stand Ground,stand ground,https://tcgplayer-cdn.tcgplayer.com/product/537283_200w.jpg,62,23392,https://cpt.tcgcsv.com/HWj6,2024-02-02T05:03:19.723,1,0.15,0.25,1.49,,,Normal,Common,VIC007,Equipment,Legs,Guardian,,,,0,,
537284,Command Respect (Red),command respect red,https://tcgplayer-cdn.tcgplayer.com/product/537284_200w.jpg,62,23392,https://cpt.tcgcsv.com/JWj6,2024-02-02T05:03:19.723,1,0.15,0.25,0.99,0.2,,Normal,Common,VIC008,Action,Attack,Guardian,,,6,3,3,1
537285,Concuss (Red),concuss red,https://tcgplayer-cdn.tcgplayer.com/product/537285_200w.jpg,62,23392,https://cpt.tcgcsv.com/KWj6,2024-02-02T05:03:19.723,1,0.15,0.25,0.99,0.15,,Normal,Common,VIC009,Action,Attack,Guardian,,,6,3,3,1
537286,Rally the Rearguard (Red),rally the rearguard red,https://tcgplayer-cdn.tcgplayer.com/product/537286_200w.jpg,62,23392,https://cpt.tcgcsv.com/LWj6,2024-02-02T05:03:19.723,1,0.15,0.25,1.25,,,Normal,Common,VIC010,Action,Attack,Generic,,,6,2,2,1
537287,Thunk (Red),thunk red,https://tcgplayer-cdn.tcgplayer.com/product/537287_200w.jpg,62,23392,https://cpt.tcgcsv.com/MWj6,2024-02-02T05:03:19.723,1,1.0,1.45,2.75,1.47,,Normal,Common,VIC011,Action,Attack,Guardian,,,8,3,5,1
537288,Test of Might,test of might,https://tcgplayer-cdn.tcgplayer.com/product/537288_200w.jpg,62,23392,https://cpt.tcgcsv.com/NWj6,2024-02-02T05:03:19.723,1,0.15,0.25,2.49,0.15,,Normal,Rare,VIC012,Block,,Brute;Guardian,,,,4,99,1
537289,Test of Strength,test of strength,https://tcgplayer-cdn.tcgplayer.com/product/537289_200w.jpg,62,23392,https://cpt.tcgcsv.com/PWj6,2024-02-02T05:03:19.723,1,0.15,0.25,0.99,0.15,,Normal,Common,VIC013,Block,,Generic,,,,4,99,1
