productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDefenseValue,extCost,extPitchValue
586687,Kano,Kano,https://tcgplayer-cdn.tcgplayer.com/product/586687_200w.jpg,62,23763,https://cpt.tcgcsv.com/MHJ6,2024-10-10T16:19:32.357,1,Token,1HK001,Hero,Young,Wizard,4,15,,,,,,,,,
586688,Crucible of Aetherweave,Crucible of Aetherweave,https://tcgplayer-cdn.tcgplayer.com/product/586688_200w.jpg,62,23763,https://cpt.tcgcsv.com/NHJ6,2024-10-10T16:19:32.92,1,Common,1HK002,Weapon,Staff (2H),Wizard,,,2.0,2.0,2.0,2.0,,Normal,,,
586689,Talismanic Lens,Talismanic Lens,https://tcgplayer-cdn.tcgplayer.com/product/586689_200w.jpg,62,23763,https://cpt.tcgcsv.com/PHJ6,2024-10-10T16:19:33.207,1,Common,1HK003,Equipment,Head,Generic,,,1.0,1.0,1.0,,,Normal,0,,
586690,Robe of Rapture,Robe of Rapture,https://tcgplayer-cdn.tcgplayer.com/product/586690_200w.jpg,62,23763,https://cpt.tcgcsv.com/QHJ6,2024-10-10T16:19:33.44,1,Common,1HK004,Equipment,Chest,Wizard,,,1.45,1.59,2.78,,,Normal,0,,
586691,Nullrune Gloves,Nullrune Gloves,https://tcgplayer-cdn.tcgplayer.com/product/586691_200w.jpg,62,23763,https://cpt.tcgcsv.com/RHJ6,2024-10-10T16:19:33.533,1,Common,1HK005,Equipment,Arms,Generic,,,2.0,2.0,2.0,1.99,,Normal,0,,
586692,Mage Master Boots,Mage Master Boots,https://tcgplayer-cdn.tcgplayer.com/product/586692_200w.jpg,62,23763,https://cpt.tcgcsv.com/SHJ6,2024-10-10T16:19:33.63,1,Common,1HK006,Equipment,Legs,Generic,,,,,,,,,0,,
586693,Aether Flare (Red),Aether Flare Red,https://tcgplayer-cdn.tcgplayer.com/product/586693_200w.jpg,62,23763,https://cpt.tcgcsv.com/THJ6,2024-10-10T16:19:33.723,1,Common,1HK007,Action,,Wizard,,,1.45,1.59,2.78,,,Normal,3,1,1
586694,Aether Spindle (Red),Aether Spindle Red,https://tcgplayer-cdn.tcgplayer.com/product/586694_200w.jpg,62,23763,https://cpt.tcgcsv.com/VHJ6,2024-10-10T16:19:33.83,1,Rare,1HK008,Action,,Wizard,,,1.0,2.0,3.0,0.25,,Normal,3,2,1
586695,Reverberate (Red),Reverberate Red,https://tcgplayer-cdn.tcgplayer.com/product/586695_200w.jpg,62,23763,https://cpt.tcgcsv.com/WHJ6,2024-10-10T16:19:33.95,1,Common,1HK009,Action,,Wizard,,,2.76,2.76,2.76,0.26,,Normal,3,1,1
586696,Scalding Rain (Red),Scalding Rain Red,https://tcgplayer-cdn.tcgplayer.com/product/586696_200w.jpg,62,23763,https://cpt.tcgcsv.com/XHJ6,2024-10-10T16:19:34.153,1,Common,1HK010,Action,,Wizard,,,1.45,1.59,2.78,,,Normal,3,1,1
586697,Timekeeper's Whim (Red),Timekeepers Whim Red,https://tcgplayer-cdn.tcgplayer.com/product/586697_200w.jpg,62,23763,https://cpt.tcgcsv.com/ZHJ6,2024-10-10T16:19:34.343,1,Common,1HK011,Action,,Wizard,,,1.45,1.52,1.59,1.45,,Normal,3,3,1
586698,Voltic Bolt (Red),Voltic Bolt Red,https://tcgplayer-cdn.tcgplayer.com/product/586698_200w.jpg,62,23763,https://cpt.tcgcsv.com/-HJ6,2024-10-10T16:19:34.467,1,Common,1HK012,Action,,Wizard,,,1.45,1.59,2.78,1.45,,Normal,3,2,1
586699,Zap (Red),Zap Red,https://tcgplayer-cdn.tcgplayer.com/product/586699_200w.jpg,62,23763,https://cpt.tcgcsv.com/_HJ6,2024-10-10T16:19:34.567,1,Common,1HK013,Action,,Wizard,,,1.45,1.5,1.59,,,Normal,3,0,1
586700,Scalding Rain (Yellow),Scalding Rain Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586700_200w.jpg,62,23763,https://cpt.tcgcsv.com/0JJ6,2024-10-10T16:19:35.173,1,Common,1HK014,Action,,Wizard,,,1.45,1.52,1.59,,,Normal,3,1,2
586701,Voltic Bolt (Yellow),Voltic Bolt Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586701_200w.jpg,62,23763,https://cpt.tcgcsv.com/2JJ6,2024-10-10T16:19:35.3,1,Common,1HK015,Action,,Wizard,,,1.45,1.52,1.59,,,Normal,3,2,2
586702,Zap (Yellow),Zap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586702_200w.jpg,62,23763,https://cpt.tcgcsv.com/3JJ6,2024-10-10T16:19:35.423,1,Common,1HK016,Action,,Wizard,,,1.45,1.52,1.59,,,Normal,3,0,2
586703,Aether Flare (Blue),Aether Flare Blue,https://tcgplayer-cdn.tcgplayer.com/product/586703_200w.jpg,62,23763,https://cpt.tcgcsv.com/5JJ6,2024-10-10T16:19:35.52,1,Common,1HK017,Action,,Wizard,,,1.45,1.45,1.59,,,Normal,3,1,3
586704,Emeritus Scolding (Blue),Emeritus Scolding Blue,https://tcgplayer-cdn.tcgplayer.com/product/586704_200w.jpg,62,23763,https://cpt.tcgcsv.com/6JJ6,2024-10-10T16:19:36.05,1,Common,1HK018,Action,,Wizard,,,2.0,2.0,2.0,,,Normal,3,2,3
586705,Pry (Blue),Pry Blue,https://tcgplayer-cdn.tcgplayer.com/product/586705_200w.jpg,62,23763,https://cpt.tcgcsv.com/7JJ6,2024-10-10T16:19:36.243,1,Common,1HK019,Action,,Wizard,,,1.45,1.52,1.59,,,Normal,3,0,3
586706,Reverberate (Blue),Reverberate Blue,https://tcgplayer-cdn.tcgplayer.com/product/586706_200w.jpg,62,23763,https://cpt.tcgcsv.com/8JJ6,2024-10-10T16:19:36.593,1,Common,1HK020,Action,,Wizard,,,2.7,2.7,2.7,0.26,,Normal,3,1,3
586707,Scalding Rain (Blue),Scalding Rain Blue,https://tcgplayer-cdn.tcgplayer.com/product/586707_200w.jpg,62,23763,https://cpt.tcgcsv.com/9JJ6,2024-10-10T16:19:36.873,1,Common,1HK021,Action,,Wizard,,,1.45,1.59,2.78,,,Normal,3,1,3
586708,Timekeeper's Whim (Blue),Timekeepers Whim Blue,https://tcgplayer-cdn.tcgplayer.com/product/586708_200w.jpg,62,23763,https://cpt.tcgcsv.com/bJJ6,2024-10-10T16:19:37.11,1,Common,1HK022,Action,,Wizard,,,1.45,1.52,1.59,,,Normal,3,3,3
586709,Voltic Bolt (Blue),Voltic Bolt Blue,https://tcgplayer-cdn.tcgplayer.com/product/586709_200w.jpg,62,23763,https://cpt.tcgcsv.com/cJJ6,2024-10-10T16:19:37.603,1,Common,1HK023,Action,,Wizard,,,1.5,1.5,1.5,,,Normal,3,2,3
586710,Zap (Blue),Zap Blue,https://tcgplayer-cdn.tcgplayer.com/product/586710_200w.jpg,62,23763,https://cpt.tcgcsv.com/dJJ6,2024-10-10T16:19:37.777,1,Common,1HK024,Action,,Wizard,,,1.45,1.52,1.59,0.26,,Normal,3,0,3
