productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCardSubType,extPitchValue,extDefenseValue,extCost,extPower
682782,Armory Deck: Zyggy,Armory Deck Zyggy,https://tcgplayer-cdn.tcgplayer.com/product/682782_200w.jpg,62,24639,https://cpt.tcgcsv.com/G7t7,2026-05-29T04:10:10.027,1,30.54,36.0,75.0,32.78,,Normal,,,,,,,,,,,,
682788,Armory Deck: Zyggy Case,Armory Deck Zyggy Case,https://tcgplayer-cdn.tcgplayer.com/product/682788_200w.jpg,62,24639,https://cpt.tcgcsv.com/N7t7,2026-05-29T04:10:10.027,1,,,,,,,,,,,,,,,,,,
682792,Zyggy Starlight,Zyggy Starlight,https://tcgplayer-cdn.tcgplayer.com/product/682792_200w.jpg,62,24639,https://cpt.tcgcsv.com/S7t7,2026-05-29T04:10:10.027,1,4.78,4.79,9.1,,,Rainbow Foil,Majestic,AZS001,Hero,Illusionist,Lightning,4,40,,,,,
682793,Aphrodias,Aphrodias,https://tcgplayer-cdn.tcgplayer.com/product/682793_200w.jpg,62,24639,https://cpt.tcgcsv.com/T7t7,2026-05-29T04:10:10.027,1,3.99,4.0,4.45,4.0,,Rainbow Foil,Common,AZS002,Weapon,Illusionist,Lightning,,,Orb (2H),,,,
682795,Stardust Spike,Stardust Spike,https://tcgplayer-cdn.tcgplayer.com/product/682795_200w.jpg,62,24639,https://cpt.tcgcsv.com/W7t7,2026-05-29T04:10:10.027,1,16.99,17.0,17.0,5.89,,Normal,Majestic,AZS017,Instant,Illusionist,Lightning,,,Aura,1,,,
694845,Starfield Veil,Starfield Veil,https://tcgplayer-cdn.tcgplayer.com/product/694845_200w.jpg,62,24639,https://cpt.tcgcsv.com/WXz7,2026-05-29T04:10:10.027,1,3.43,3.44,4.45,,,Rainbow Foil,Majestic,AZS003,Equipment,Illusionist,Lightning,,,Head,,2,,
694846,Starfield Carapace,Starfield Carapace,https://tcgplayer-cdn.tcgplayer.com/product/694846_200w.jpg,62,24639,https://cpt.tcgcsv.com/XXz7,2026-05-29T04:10:10.027,1,3.43,3.44,4.45,,,Rainbow Foil,Majestic,AZS004,Equipment,Illusionist,Lightning,,,Chest,,1,,
694847,Starfield Touch,Starfield Touch,https://tcgplayer-cdn.tcgplayer.com/product/694847_200w.jpg,62,24639,https://cpt.tcgcsv.com/ZXz7,2026-05-29T04:10:10.027,1,3.43,3.44,4.45,,,Rainbow Foil,Majestic,AZS005,Equipment,Illusionist,Lightning,,,Arms,,1,,
694848,Blitz Kicks,Blitz Kicks,https://tcgplayer-cdn.tcgplayer.com/product/694848_200w.jpg,62,24639,https://cpt.tcgcsv.com/-Xz7,2026-05-29T04:10:10.027,1,,,,,,,Rare,AZS006,Equipment,,Lightning,,,Legs,,,,
694849,Blink Of An Eye (Red),Blink Of An Eye Red,https://tcgplayer-cdn.tcgplayer.com/product/694849_200w.jpg,62,24639,https://cpt.tcgcsv.com/_Xz7,2026-05-29T04:10:10.027,1,3.77,3.92,4.51,,,Normal,Rare,AZS007,Action,Illusionist,Lightning,,,Attack,1,3,2,7
694850,Ebbing Arcstride (Red),Ebbing Arcstride Red,https://tcgplayer-cdn.tcgplayer.com/product/694850_200w.jpg,62,24639,https://cpt.tcgcsv.com/0Zz7,2026-05-29T04:10:10.027,1,0.25,0.3,0.4,,,Normal,Common,AZS008,Action,Illusionist,Lightning,,,Attack,1,3,,5
694851,Flowing Stormstrike (Red),Flowing Stormstrike Red,https://tcgplayer-cdn.tcgplayer.com/product/694851_200w.jpg,62,24639,https://cpt.tcgcsv.com/2Zz7,2026-05-29T04:10:10.027,1,3.95,3.99,4.54,3.99,,Normal,Rare,AZS009,Action,,Lightning,,,Attack,1,2,,4
694852,Miraging Metamorph (Red),Miraging Metamorph Red,https://tcgplayer-cdn.tcgplayer.com/product/694852_200w.jpg,62,24639,https://cpt.tcgcsv.com/3Zz7,2026-05-29T04:10:10.027,1,14.0,14.98,15.95,13.44,,Normal,Majestic,AZS010,Action,Illusionist,,,,Attack,1,3,1,7
694853,Polarus Pulse Ray (Red),Polarus Pulse Ray Red,https://tcgplayer-cdn.tcgplayer.com/product/694853_200w.jpg,62,24639,https://cpt.tcgcsv.com/5Zz7,2026-05-29T04:10:10.027,1,2.68,2.69,3.43,3.95,,Normal,Rare,AZS011,Action,Illusionist,Lightning,,,Attack,1,3,2,7
694854,Scattering Conflux (Red),Scattering Conflux Red,https://tcgplayer-cdn.tcgplayer.com/product/694854_200w.jpg,62,24639,https://cpt.tcgcsv.com/6Zz7,2026-05-29T04:10:10.027,1,3.24,3.25,5.0,3.9,,Normal,Rare,AZS012,Action,Illusionist,Lightning,,,Attack,1,3,2,7
694855,Shattering Flowtide (Red),Shattering Flowtide Red,https://tcgplayer-cdn.tcgplayer.com/product/694855_200w.jpg,62,24639,https://cpt.tcgcsv.com/7Zz7,2026-05-29T04:10:10.027,1,0.2,0.25,0.4,,,Normal,Common,AZS013,Action,Illusionist,Lightning,,,Attack,1,3,,5
694856,Shattering Stardust (Red),Shattering Stardust Red,https://tcgplayer-cdn.tcgplayer.com/product/694856_200w.jpg,62,24639,https://cpt.tcgcsv.com/8Zz7,2026-05-29T04:10:10.027,1,3.92,3.93,5.06,4.58,,Normal,Majestic,AZS014,Action,Illusionist,Lightning,,,Attack,1,3,,5
694857,Auric Shards (Red),Auric Shards Red,https://tcgplayer-cdn.tcgplayer.com/product/694857_200w.jpg,62,24639,https://cpt.tcgcsv.com/9Zz7,2026-05-29T04:10:10.027,1,0.2,0.25,0.4,,,Normal,Common,AZS015,Instant,Illusionist,Lightning,,,Aura,1,,1,
694858,Corrosive Space Dust (Red),Corrosive Space Dust Red,https://tcgplayer-cdn.tcgplayer.com/product/694858_200w.jpg,62,24639,https://cpt.tcgcsv.com/bZz7,2026-05-29T04:10:10.027,1,3.77,3.77,3.99,,,Normal,Rare,AZS016,Instant,Illusionist,Lightning,,,Aura,1,,1,
694859,Circular Flowtide (Yellow),Circular Flowtide Yellow,https://tcgplayer-cdn.tcgplayer.com/product/694859_200w.jpg,62,24639,https://cpt.tcgcsv.com/cZz7,2026-05-29T04:10:10.027,1,0.29,0.29,0.4,0.28,,Normal,Common,AZS018,Instant,Illusionist,Lightning,,,Aura,2,,1,
694860,Elliptical Conflux (Yellow),Elliptical Conflux Yellow,https://tcgplayer-cdn.tcgplayer.com/product/694860_200w.jpg,62,24639,https://cpt.tcgcsv.com/dZz7,2026-05-29T04:10:10.027,1,0.29,0.3,0.4,0.3,,Normal,Common,AZS019,Instant,Illusionist,Lightning,,,Aura,2,,1,
694861,Clear Conscience (Blue),Clear Conscience Blue,https://tcgplayer-cdn.tcgplayer.com/product/694861_200w.jpg,62,24639,https://cpt.tcgcsv.com/fZz7,2026-05-29T04:10:10.027,1,3.95,3.99,3.99,,,Normal,Rare,AZS020,Action,Illusionist,,,,Attack,3,3,3,6
694862,Cosmic Duality (Blue),Cosmic Duality Blue,https://tcgplayer-cdn.tcgplayer.com/product/694862_200w.jpg,62,24639,https://cpt.tcgcsv.com/gZz7,2026-05-29T13:45:57.753,1,0.25,0.3,0.4,,,Normal,Common,AZS021,Action,Illusionist,Lightning,,,Attack,3,3,2,5
694863,Ebbing Arcstride (Blue),Ebbing Arcstride Blue,https://tcgplayer-cdn.tcgplayer.com/product/694863_200w.jpg,62,24639,https://cpt.tcgcsv.com/hZz7,2026-05-29T04:10:10.027,1,0.25,0.3,0.4,,,Normal,Common,AZS022,Action,Illusionist,Lightning,,,Attack,3,3,,3
694864,Shattering Flowtide (Blue),Shattering Flowtide Blue,https://tcgplayer-cdn.tcgplayer.com/product/694864_200w.jpg,62,24639,https://cpt.tcgcsv.com/jZz7,2026-05-29T04:10:10.027,1,0.25,0.3,0.4,,,Normal,Common,AZS023,Action,Illusionist,Lightning,,,Attack,3,3,,3
694865,Pierce Reality (Blue),Pierce Reality Blue,https://tcgplayer-cdn.tcgplayer.com/product/694865_200w.jpg,62,24639,https://cpt.tcgcsv.com/kZz7,2026-05-29T04:10:10.027,1,0.2,0.27,0.5,,,Normal,Rare,AZS024,Action,Illusionist,,,,Aura,3,2,,
694866,Blur Reality (Blue),Blur Reality Blue,https://tcgplayer-cdn.tcgplayer.com/product/694866_200w.jpg,62,24639,https://cpt.tcgcsv.com/lZz7,2026-05-29T04:10:10.027,1,2.77,2.77,2.99,2.77,,Normal,Rare,AZS025,Instant,Illusionist,Lightning,,,,3,,,
694867,Crackle From Afar (Blue),Crackle From Afar Blue,https://tcgplayer-cdn.tcgplayer.com/product/694867_200w.jpg,62,24639,https://cpt.tcgcsv.com/mZz7,2026-05-29T04:10:10.027,1,0.2,0.25,0.5,,,Normal,Common,AZS026,Instant,Illusionist,Lightning,,,Aura,3,,,
694868,Fleeing Starbreeze (Blue),Fleeing Starbreeze Blue,https://tcgplayer-cdn.tcgplayer.com/product/694868_200w.jpg,62,24639,https://cpt.tcgcsv.com/nZz7,2026-05-29T04:10:10.027,1,0.2,0.25,0.48,,,Normal,Common,AZS027,Instant,Illusionist,Lightning,,,Aura,3,,,
694869,Sigil Of Astral Flow (Blue),Sigil Of Astral Flow Blue,https://tcgplayer-cdn.tcgplayer.com/product/694869_200w.jpg,62,24639,https://cpt.tcgcsv.com/pZz7,2026-05-29T04:10:10.027,1,0.2,0.25,0.4,0.2,,Normal,Common,AZS028,Instant,,Lightning,,,Aura,3,,,
694870,Embodiment Of Lightning,Embodiment Of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/694870_200w.jpg,62,24639,https://cpt.tcgcsv.com/qZz7,2026-05-29T04:10:10.027,1,1.0,1.05,1.05,,,Normal,Basic,AZS029,Token,,Elemental,,,Aura,,,,
694871,Ponder,Ponder,https://tcgplayer-cdn.tcgplayer.com/product/694871_200w.jpg,62,24639,https://cpt.tcgcsv.com/rZz7,2026-05-29T04:10:10.027,1,1.05,1.05,1.05,1.0,,Normal,Basic,AZS031,Token,Generic,,,,Aura,,,,
