productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
586768,Rhinar,Rhinar,https://tcgplayer-cdn.tcgplayer.com/product/586768_200w.jpg,62,23764,https://cpt.tcgcsv.com/nKJ6,2024-10-10T20:55:09.84,1,Token,1HR001,Hero,Young,Brute,4,20,,,,,,,,,,
586769,Romping Club,Romping Club,https://tcgplayer-cdn.tcgplayer.com/product/586769_200w.jpg,62,23764,https://cpt.tcgcsv.com/pKJ6,2024-10-10T20:55:09.997,1,Token,1HR002,Weapon,Club (2H),Brute,,,4,,,,,,,,,
586770,Nullrune Hood,Nullrune Hood,https://tcgplayer-cdn.tcgplayer.com/product/586770_200w.jpg,62,23764,https://cpt.tcgcsv.com/qKJ6,2024-10-10T20:55:10.09,1,Common,1HR003,Equipment,Head,Generic,,,,0,,,,,,,,
586771,Barkbone Strapping,Barkbone Strapping,https://tcgplayer-cdn.tcgplayer.com/product/586771_200w.jpg,62,23764,https://cpt.tcgcsv.com/rKJ6,2024-10-10T20:55:10.183,1,Common,1HR004,Equipment,Chest,Brute,,,,1,,,,,,,,
586772,Goliath Gauntlet,Goliath Gauntlet,https://tcgplayer-cdn.tcgplayer.com/product/586772_200w.jpg,62,23764,https://cpt.tcgcsv.com/sKJ6,2024-10-10T20:55:10.273,1,Common,1HR005,Equipment,Arms,Brute,,,,0,,,,,,,,
586773,Nullrune Boots,Nullrune Boots,https://tcgplayer-cdn.tcgplayer.com/product/586773_200w.jpg,62,23764,https://cpt.tcgcsv.com/tKJ6,2024-10-10T20:55:10.36,1,Common,1HR006,Equipment,Legs,Generic,,,,0,,,,,,,,
586774,Bare Fangs (Red),Bare Fangs Red,https://tcgplayer-cdn.tcgplayer.com/product/586774_200w.jpg,62,23764,https://cpt.tcgcsv.com/vKJ6,2024-10-10T20:55:10.437,1,Common,1HR007,Action,Attack,Brute,,,6,,2,1,,,,,,
586775,Pack Hunt (Red),Pack Hunt Red,https://tcgplayer-cdn.tcgplayer.com/product/586775_200w.jpg,62,23764,https://cpt.tcgcsv.com/wKJ6,2024-10-10T20:55:10.547,1,Common,1HR008,Action,Attack,Brute,,,6,3,2,1,,,,,,
586776,Pulping (Red),Pulping Red,https://tcgplayer-cdn.tcgplayer.com/product/586776_200w.jpg,62,23764,https://cpt.tcgcsv.com/xKJ6,2024-10-10T20:55:10.687,1,Rare,1HR009,Action,Attack,Brute,,,6,,2,1,,,,,,
586777,Riled Up (Red),Riled Up Red,https://tcgplayer-cdn.tcgplayer.com/product/586777_200w.jpg,62,23764,https://cpt.tcgcsv.com/zKJ6,2024-10-10T20:55:10.81,1,Common,1HR010,Action,Attack,Brute,,,7,3,3,1,,,,,,
586778,Savage Swing (Red),Savage Swing Red,https://tcgplayer-cdn.tcgplayer.com/product/586778_200w.jpg,62,23764,https://cpt.tcgcsv.com/BKJ6,2024-10-10T20:55:10.92,1,Common,1HR011,Action,Attack,Brute,,,7,3,1,1,,,,,,
586779,Smash Instinct (Red),Smash Instinct Red,https://tcgplayer-cdn.tcgplayer.com/product/586779_200w.jpg,62,23764,https://cpt.tcgcsv.com/CKJ6,2024-10-10T20:55:11.123,1,Common,1HR012,Action,Attack,Brute,,,7,3,3,1,,,,,,
586780,Wild Ride (Red),Wild Ride Red,https://tcgplayer-cdn.tcgplayer.com/product/586780_200w.jpg,62,23764,https://cpt.tcgcsv.com/DKJ6,2024-10-10T20:55:11.403,1,Common,1HR013,Action,Attack,Brute,,,6,,2,1,,,,,,
586781,Wrecker Romp (Red),Wrecker Romp Red,https://tcgplayer-cdn.tcgplayer.com/product/586781_200w.jpg,62,23764,https://cpt.tcgcsv.com/FKJ6,2024-10-10T20:55:11.497,1,Common,1HR014,Action,Attack,Brute,,,8,3,2,1,,,,,,
586782,Rally the Rearguard (Red),Rally the Rearguard Red,https://tcgplayer-cdn.tcgplayer.com/product/586782_200w.jpg,62,23764,https://cpt.tcgcsv.com/GKJ6,2024-10-10T20:55:11.623,1,Common,1HR015,Action,Attack,Generic,,,6,2,2,1,,,,,,
586783,Barraging Beatdown (Red),Barraging Beatdown Red,https://tcgplayer-cdn.tcgplayer.com/product/586783_200w.jpg,62,23764,https://cpt.tcgcsv.com/HKJ6,2024-10-10T20:55:12.153,1,Rare,1HR016,Action,,Brute,,,,3,0,1,0.74,0.74,0.74,,,Normal
586784,Riled Up (Yellow),Riled Up Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586784_200w.jpg,62,23764,https://cpt.tcgcsv.com/JKJ6,2024-10-10T20:55:12.263,1,Common,1HR017,Action,Attack,Brute,,,6,3,3,2,,,,,,
586785,Savage Swing (Yellow),Savage Swing Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586785_200w.jpg,62,23764,https://cpt.tcgcsv.com/KKJ6,2024-10-10T20:55:12.383,1,Common,1HR018,Action,Attack,Brute,,,6,3,1,2,,,,,,
586786,Smash Instinct (Yellow),Smash Instinct Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586786_200w.jpg,62,23764,https://cpt.tcgcsv.com/LKJ6,2024-10-10T20:55:12.493,1,Common,1HR019,Action,Attack,Brute,,,6,3,3,2,,,,,,
586787,Wrecker Romp (Yellow),Wrecker Romp Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586787_200w.jpg,62,23764,https://cpt.tcgcsv.com/MKJ6,2024-10-10T20:55:12.6,1,Common,1HR020,Action,Attack,Brute,,,7,3,2,2,,,,,,
586788,Pummel (Yellow),Pummel Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586788_200w.jpg,62,23764,https://cpt.tcgcsv.com/NKJ6,2024-10-10T20:55:12.893,1,Common,1HR021,Attack Reaction,,Generic,,,,2,2,2,,,,,,
586789,Wrecker Romp (Blue),Wrecker Romp Blue,https://tcgplayer-cdn.tcgplayer.com/product/586789_200w.jpg,62,23764,https://cpt.tcgcsv.com/PKJ6,2024-10-10T20:55:13.02,1,Common,1HR022,Action,Attack,Brute,,,6,3,2,3,,,,,,
586790,Pummel (Blue),Pummel Blue,https://tcgplayer-cdn.tcgplayer.com/product/586790_200w.jpg,62,23764,https://cpt.tcgcsv.com/QKJ6,2024-10-10T20:55:13.16,1,Common,1HR023,Attack Reaction,,Generic,,,,2,2,3,,,,,,
586791,Come to Fight (Blue),Come to Fight Blue,https://tcgplayer-cdn.tcgplayer.com/product/586791_200w.jpg,62,23764,https://cpt.tcgcsv.com/RKJ6,2024-10-10T20:55:13.263,1,Common,1HR024,Action,,Generic,,,,3,1,3,,,,,,
586792,High Roller (Blue),High Roller Blue,https://tcgplayer-cdn.tcgplayer.com/product/586792_200w.jpg,62,23764,https://cpt.tcgcsv.com/SKJ6,2024-10-10T20:55:13.41,1,Common,1HR025,Action,,Brute,,,,3,0,3,0.99,1.02,1.05,,,Normal
586793,Primeval Bellow (Blue),Primeval Bellow Blue,https://tcgplayer-cdn.tcgplayer.com/product/586793_200w.jpg,62,23764,https://cpt.tcgcsv.com/TKJ6,2024-10-10T20:55:13.783,1,Common,1HR026,Action,,Brute,,,,3,0,3,,,,,,
