productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extDefenseValue,extCost,extPitchValue,extPower,extFlavorText
477992,Outsider Blitz Deck - Riptide,Outsider Blitz Deck Riptide,https://tcgplayer-cdn.tcgplayer.com/product/477992_200w.jpg,62,22902,https://cpt.tcgcsv.com/ScR5,2023-03-24T04:03:16.763,1,12.0,16.26,20.54,16.3,,Normal,,,,,,,,,,,,
489263,Riptide,Riptide,https://tcgplayer-cdn.tcgplayer.com/product/489263_200w.jpg,62,22902,https://cpt.tcgcsv.com/hKW5,2023-03-24T04:03:16.763,1,1.0,2.34,3.76,,,Normal,Common,RIP001,Hero,Young,Ranger,4,19,,,,,
489264,Barbed Castaway,Barbed Castaway,https://tcgplayer-cdn.tcgplayer.com/product/489264_200w.jpg,62,22902,https://cpt.tcgcsv.com/jKW5,2023-03-24T04:03:16.763,1,0.1,0.3,0.49,0.25,,Normal,Common,RIP002,Weapon,Bow (2H),Ranger,,,,,,,
489265,Driftwood Quiver,Driftwood Quiver,https://tcgplayer-cdn.tcgplayer.com/product/489265_200w.jpg,62,22902,https://cpt.tcgcsv.com/kKW5,2023-03-24T04:03:16.763,1,0.47,0.48,0.48,0.25,,Normal,Common,RIP003,Equipment,Quiver,Ranger,,,,,,,
489266,Mask of Malicious Manifestations,Mask of Malicious Manifestations,https://tcgplayer-cdn.tcgplayer.com/product/489266_200w.jpg,62,22902,https://cpt.tcgcsv.com/lKW5,2023-03-24T04:03:16.763,1,0.55,0.81,0.84,,,Normal,Common,RIP004,Equipment,Head,Ranger;Assassin,,,1,,,,
489267,Threadbare Tunic,Threadbare Tunic,https://tcgplayer-cdn.tcgplayer.com/product/489267_200w.jpg,62,22902,https://cpt.tcgcsv.com/mKW5,2023-03-24T04:03:16.763,1,0.35,0.44,0.48,,,Normal,Common,RIP005,Equipment,Chest,Generic,,,,,,,
489268,Toxic Tips,Toxic Tips,https://tcgplayer-cdn.tcgplayer.com/product/489268_200w.jpg,62,22902,https://cpt.tcgcsv.com/nKW5,2023-03-24T04:03:16.763,1,0.49,0.49,0.49,0.3,,Normal,Common,RIP006,Equipment,Arms,Ranger;Assassin,,,1,,,,
489269,Ironrot Legs,Ironrot Legs,https://tcgplayer-cdn.tcgplayer.com/product/489269_200w.jpg,62,22902,https://cpt.tcgcsv.com/pKW5,2023-03-24T04:03:16.763,1,0.25,0.47,0.48,,,Normal,Common,RIP007,Equipment,Legs,Generic,,,1,,,,
489270,Bloodrot Trap (Red),Bloodrot Trap Red,https://tcgplayer-cdn.tcgplayer.com/product/489270_200w.jpg,62,22902,https://cpt.tcgcsv.com/qKW5,2023-03-24T04:03:16.763,1,0.49,0.49,0.49,0.25,,Normal,Common,RIP008,Defense Reaction,Trap,Ranger;Assassin,,,3,0,1,,
489271,Frailty Trap (Red),Frailty Trap Red,https://tcgplayer-cdn.tcgplayer.com/product/489271_200w.jpg,62,22902,https://cpt.tcgcsv.com/rKW5,2023-03-24T04:03:16.763,1,,,,,,,Common,RIP009,Defense Reaction,Trap,Ranger;Assassin,,,3,0,1,,
