productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText,extIntellect,extLife
477233,Outsiders Booster Box,Outsiders Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/477233_200w.jpg,62,22893,https://cpt.tcgcsv.com/HVQ5,2023-03-26T14:16:21.887,1,89.99,102.48,223.21,99.78,,Normal,,,,,,,,,,,,
477234,Outsiders Booster Pack,Outsiders Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/477234_200w.jpg,62,22893,https://cpt.tcgcsv.com/JVQ5,2023-03-26T13:40:02.597,1,11.03,18.87,18.88,11.03,,Normal,,,,,,,,,,,,
477235,Outsiders Booster Box Case,Outsiders Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/477235_200w.jpg,62,22893,https://cpt.tcgcsv.com/KVQ5,2023-03-26T13:39:49.11,1,385.95,414.97,540.0,405.22,,Normal,,,,,,,,,,,,
477994,Outsiders Blitz Deck Display,Outsiders Blitz Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/477994_200w.jpg,62,22893,https://cpt.tcgcsv.com/VcR5,2023-03-26T13:36:26.743,1,49.0,51.38,72.5,47.44,,Normal,,,,,,,,,,,,
477995,Outsiders Blitz Deck [Set of 6],Outsiders Blitz Deck Set of 6,https://tcgplayer-cdn.tcgplayer.com/product/477995_200w.jpg,62,22893,https://cpt.tcgcsv.com/WcR5,2023-03-26T13:36:45.853,1,49.0,55.0,61.99,33.11,,Normal,,,,,,,,,,,,
486562,Collapsing Trap,Collapsing Trap,https://tcgplayer-cdn.tcgplayer.com/product/486562_200w.jpg,62,22893,https://cpt.tcgcsv.com/gFV5,2023-03-24T04:03:16.763,1,2.0,3.23,7.77,3.02,,Normal,Majestic,OUT103,Defense Reaction,Trap,Ranger,0,3,3,,,,
486562,Collapsing Trap,Collapsing Trap,https://tcgplayer-cdn.tcgplayer.com/product/486562_200w.jpg,62,22893,https://cpt.tcgcsv.com/gFV5,2023-03-24T04:03:16.763,1,4.18,6.0,19.99,5.3,,Rainbow Foil,Majestic,OUT103,Defense Reaction,Trap,Ranger,0,3,3,,,,
486569,Dishonor,Dishonor,https://tcgplayer-cdn.tcgplayer.com/product/486569_200w.jpg,62,22893,https://cpt.tcgcsv.com/pFV5,2024-05-08T18:55:20.277,1,2.63,5.7,15.69,4.62,,Normal,Majestic,OUT051,Action,Attack,Ninja,0,3,3,2,,,
486569,Dishonor,Dishonor,https://tcgplayer-cdn.tcgplayer.com/product/486569_200w.jpg,62,22893,https://cpt.tcgcsv.com/pFV5,2024-05-08T18:55:20.277,1,3.46,7.5,29.99,7.14,,Rainbow Foil,Majestic,OUT051,Action,Attack,Ninja,0,3,3,2,,,
486673,Back Stab (Red),Back Stab Red,https://tcgplayer-cdn.tcgplayer.com/product/486673_200w.jpg,62,22893,https://cpt.tcgcsv.com/tHV5,2024-05-08T14:32:28.52,1,0.15,0.34,2.65,0.26,,Rainbow Foil,Rare,OUT015,Action,Attack,Assassin,0,1,3,3,"<em>""Perfect strands of red drawn out by a perfectly angled blade. It's an art form few can appreciate."" - Arakni, Huntsman</em>",,
486673,Back Stab (Red),Back Stab Red,https://tcgplayer-cdn.tcgplayer.com/product/486673_200w.jpg,62,22893,https://cpt.tcgcsv.com/tHV5,2024-05-08T14:32:28.52,1,0.04,0.25,2.57,0.21,,Normal,Rare,OUT015,Action,Attack,Assassin,0,1,3,3,"<em>""Perfect strands of red drawn out by a perfectly angled blade. It's an art form few can appreciate."" - Arakni, Huntsman</em>",,
486766,Shake Down,Shake Down,https://tcgplayer-cdn.tcgplayer.com/product/486766_200w.jpg,62,22893,https://cpt.tcgcsv.com/lKV5,2025-03-03T19:35:12.723,1,1.15,2.59,15.0,1.88,,Rainbow Foil,Majestic,OUT013,Action,Attack,Assassin,2,1,3,6,,,
486766,Shake Down,Shake Down,https://tcgplayer-cdn.tcgplayer.com/product/486766_200w.jpg,62,22893,https://cpt.tcgcsv.com/lKV5,2025-03-03T19:35:12.723,1,0.82,1.59,12.5,1.14,,Normal,Majestic,OUT013,Action,Attack,Assassin,2,1,3,6,,,
487157,Back Stab (Yellow),Back Stab Yellow,https://tcgplayer-cdn.tcgplayer.com/product/487157_200w.jpg,62,22893,https://cpt.tcgcsv.com/9TV5,2024-12-11T21:20:32.263,1,0.09,0.25,1.13,0.19,,Rainbow Foil,Rare,OUT016,Action,Attack,Assassin,0,2,3,2,"<em>""Perfect strands of red drawn out by a perfectly angled blade. It's an art form few can appreciate."" - Arakni, Huntsman</em>",,
487157,Back Stab (Yellow),Back Stab Yellow,https://tcgplayer-cdn.tcgplayer.com/product/487157_200w.jpg,62,22893,https://cpt.tcgcsv.com/9TV5,2024-12-11T21:20:32.263,1,0.04,0.2,2.54,0.15,,Normal,Rare,OUT016,Action,Attack,Assassin,0,2,3,2,"<em>""Perfect strands of red drawn out by a perfectly angled blade. It's an art form few can appreciate."" - Arakni, Huntsman</em>",,
487158,Back Stab (Blue),Back Stab Blue,https://tcgplayer-cdn.tcgplayer.com/product/487158_200w.jpg,62,22893,https://cpt.tcgcsv.com/bTV5,2024-12-11T21:20:32.323,1,0.08,0.25,2.6,0.16,,Normal,Rare,OUT017,Action,Attack,Assassin,0,3,3,1,"<em>""Perfect strands of red drawn out by a perfectly angled blade. It's an art form few can appreciate."" - Arakni, Huntsman</em>",,
487158,Back Stab (Blue),Back Stab Blue,https://tcgplayer-cdn.tcgplayer.com/product/487158_200w.jpg,62,22893,https://cpt.tcgcsv.com/bTV5,2024-12-11T21:20:32.323,1,0.3,0.41,2.84,0.42,,Rainbow Foil,Rare,OUT017,Action,Attack,Assassin,0,3,3,1,"<em>""Perfect strands of red drawn out by a perfectly angled blade. It's an art form few can appreciate."" - Arakni, Huntsman</em>",,
487169,Spike with Frailty,Spike with Frailty,https://tcgplayer-cdn.tcgplayer.com/product/487169_200w.jpg,62,22893,https://cpt.tcgcsv.com/pTV5,2025-03-03T20:24:33.703,1,0.12,0.32,1.0,0.2,,Rainbow Foil,Rare,OUT022,Attack Reaction,,Assassin,1,1,3,,,,
