productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extPower,extDefenseValue,extCost,extPitchValue,extFlavorText
270509,Uprising Blitz Deck - Dromai,Uprising Blitz Deck Dromai,https://tcgplayer-cdn.tcgplayer.com/product/270509_200w.jpg,62,3060,https://cpt.tcgcsv.com/cdb3,2022-07-01T04:03:09.413,1,5.99,7.5,19.99,6.81,,Normal,,,,,,,,,,,,,
276811,Dromai,Dromai,https://tcgplayer-cdn.tcgplayer.com/product/276811_200w.jpg,62,3060,https://cpt.tcgcsv.com/fLd3,2022-07-01T04:03:09.413,1,0.25,0.75,6.57,0.67,,Rainbow Foil,Rare,DRO001,Hero,Young,Illusionist,Draconic,4,20,,,,,
276817,Ash // Aether Ashwing,Ash Aether Ashwing,https://tcgplayer-cdn.tcgplayer.com/product/276817_200w.jpg,62,3060,https://cpt.tcgcsv.com/mLd3,2022-07-01T04:03:09.413,2,2.0,3.8,3.85,1.82,,Normal,Token,DRO002/DRO003,Token,Ally;Ash;Dragon,Illusionist,Draconic,,1,1,,,,
276820,Storm of Sandikai,Storm of Sandikai,https://tcgplayer-cdn.tcgplayer.com/product/276820_200w.jpg,62,3060,https://cpt.tcgcsv.com/qLd3,2022-07-01T04:03:09.413,1,0.13,0.13,0.13,0.64,,Normal,Common,DRO004,Weapon,Scepter (2H),Illusionist,Draconic,,,,,,,
276822,Ironhide Helm,Ironhide Helm,https://tcgplayer-cdn.tcgplayer.com/product/276822_200w.jpg,62,3060,https://cpt.tcgcsv.com/sLd3,2022-07-01T04:03:09.413,1,0.24,0.4,1.23,0.2,,Normal,Common,DRO005,Equipment,Head,Generic,,,,,0,,,
276825,Deep Blue,Deep Blue,https://tcgplayer-cdn.tcgplayer.com/product/276825_200w.jpg,62,3060,https://cpt.tcgcsv.com/wLd3,2022-07-01T04:03:09.413,1,0.45,0.5,1.18,1.0,,Normal,Common,DRO006,Equipment,Chest,Generic,,,,,0,,,
276827,Silken Form,Silken Form,https://tcgplayer-cdn.tcgplayer.com/product/276827_200w.jpg,62,3060,https://cpt.tcgcsv.com/zLd3,2023-07-25T15:58:41.487,1,0.15,0.21,3.75,0.14,,Normal,Common,DRO007,Equipment,Arms,Illusionist,Draconic,,,,0,,,
276829,Ironhide Legs,Ironhide Legs,https://tcgplayer-cdn.tcgplayer.com/product/276829_200w.jpg,62,3060,https://cpt.tcgcsv.com/CLd3,2022-07-01T04:03:09.413,1,0.15,0.25,1.18,,,Normal,Common,DRO008,Equipment,Legs,Generic,,,,,0,,,
276831,Red Hot,Red Hot,https://tcgplayer-cdn.tcgplayer.com/product/276831_200w.jpg,62,3060,https://cpt.tcgcsv.com/FLd3,2022-07-01T04:03:09.413,1,0.1,0.25,1.5,0.1,,Normal,Rare,DRO009,Action,Attack,,Draconic,,,4,3,2,1,
276833,Lava Burst,Lava Burst,https://tcgplayer-cdn.tcgplayer.com/product/276833_200w.jpg,62,3060,https://cpt.tcgcsv.com/HLd3,2022-07-01T04:03:09.413,1,2.7,2.92,3.38,2.62,,Normal,Common,DRO010,Action,Attack,,Draconic,,,2,3,0,1,
