productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extPower,extDefenseValue,extFlavorText
270510,Uprising Blitz Deck - Fai,Uprising Blitz Deck Fai,https://tcgplayer-cdn.tcgplayer.com/product/270510_200w.jpg,62,3059,https://cpt.tcgcsv.com/ddb3,2022-07-01T04:03:09.413,1,3.49,8.7,21.98,4.8,,Normal,,,,,,,,,,,,,
276806,Fai,Fai,https://tcgplayer-cdn.tcgplayer.com/product/276806_200w.jpg,62,3059,https://cpt.tcgcsv.com/8Ld3,2022-07-01T04:03:09.413,1,0.25,0.59,5.0,0.6,,Rainbow Foil,Rare,FAI001,Hero,Young,Ninja,Draconic,4,20,,,,,
276807,Phoenix Flame,Phoenix Flame,https://tcgplayer-cdn.tcgplayer.com/product/276807_200w.jpg,62,3059,https://cpt.tcgcsv.com/9Ld3,2025-03-14T19:48:45.813,1,0.15,0.79,5.11,0.15,,Normal,Common,FAI008,Action,Attack,,Draconic,,,0,1,0,,
276813,Searing Emberblade,Searing Emberblade,https://tcgplayer-cdn.tcgplayer.com/product/276813_200w.jpg,62,3059,https://cpt.tcgcsv.com/hLd3,2022-07-01T04:03:09.413,1,9.48,11.05,16.1,10.16,,Normal,Token,FAI002,Weapon,Sword (2H),Ninja,Draconic,,,,,3,,
276814,Hope Merchant's Hood,Hope Merchants Hood,https://tcgplayer-cdn.tcgplayer.com/product/276814_200w.jpg,62,3059,https://cpt.tcgcsv.com/jLd3,2022-07-01T04:03:09.413,1,0.2,0.6,5.01,,,Normal,Common,FAI003,Equipment,Head,Generic,,,,,,,0,
276815,Sash of Sandikai,Sash of Sandikai,https://tcgplayer-cdn.tcgplayer.com/product/276815_200w.jpg,62,3059,https://cpt.tcgcsv.com/kLd3,2022-07-01T04:03:09.413,1,0.15,0.25,1.18,,,Normal,Common,FAI004,Equipment,Chest,,Draconic,,,,,,0,
276816,Heat Wave,Heat Wave,https://tcgplayer-cdn.tcgplayer.com/product/276816_200w.jpg,62,3059,https://cpt.tcgcsv.com/lLd3,2022-07-01T04:03:09.413,1,0.15,0.25,1.22,,,Normal,Common,FAI005,Equipment,Arms,Ninja,Draconic,,,,,,0,
276818,Quelling Slippers,Quelling Slippers,https://tcgplayer-cdn.tcgplayer.com/product/276818_200w.jpg,62,3059,https://cpt.tcgcsv.com/nLd3,2025-03-14T19:50:04.757,1,0.1,0.24,1.18,,,Normal,Common,FAI006,Equipment,Legs,Generic,,,,,,,0,
276819,Rise Up,Rise Up,https://tcgplayer-cdn.tcgplayer.com/product/276819_200w.jpg,62,3059,https://cpt.tcgcsv.com/pLd3,2025-03-14T19:53:25.187,1,0.25,0.41,1.23,,,Normal,Rare,FAI007,Action,Attack,,Draconic,,,1,1,3,3,
276826,Rise From the Ashes (Red),Rise From the Ashes Red,https://tcgplayer-cdn.tcgplayer.com/product/276826_200w.jpg,62,3059,https://cpt.tcgcsv.com/xLd3,2025-03-14T19:54:19.833,1,0.15,0.21,5.93,,,Normal,Rare,FAI009,Action,,Ninja,Draconic,,,0,1,,2,
276830,Blaze Headlong,Blaze Headlong,https://tcgplayer-cdn.tcgplayer.com/product/276830_200w.jpg,62,3059,https://cpt.tcgcsv.com/DLd3,2022-07-01T04:03:09.413,1,0.24,0.31,5.05,0.25,,Normal,Common,FAI010,Action,Attack,,Draconic,,,0,1,4,2,"<em>The Volcai army of vigilantes, renegades, and outlaws, is like a tinderbox looking for a spark.</em>"
276832,Inflame,Inflame,https://tcgplayer-cdn.tcgplayer.com/product/276832_200w.jpg,62,3059,https://cpt.tcgcsv.com/GLd3,2025-03-14T19:55:03.593,1,0.15,0.25,1.23,,,Normal,Common,FAI011,Action,Attack,,Draconic,,,0,1,1,2,
276834,Flamecall Awakening,Flamecall Awakening,https://tcgplayer-cdn.tcgplayer.com/product/276834_200w.jpg,62,3059,https://cpt.tcgcsv.com/JLd3,2025-03-14T19:56:18.257,1,0.25,0.45,1.23,,,Normal,Common,FAI012,Action,Attack,,Draconic,,,1,1,3,2,
