productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardSubType,extClass,extTalent,extPower,extDefenseValue,extCost,extPitchValue
617893,Fang,Fang,https://tcgplayer-cdn.tcgplayer.com/product/617893_200w.jpg,62,24213,https://cpt.tcgcsv.com/T9Z6,2025-02-10T16:33:15.19,1,Marvel,FNG001,4,20,1.0,7.15,10.62,8.49,,Rainbow Foil,,,,,,,,
617895,Obsidian Fire Vein,Obsidian Fire Vein,https://tcgplayer-cdn.tcgplayer.com/product/617895_200w.jpg,62,24213,https://cpt.tcgcsv.com/W9Z6,2025-02-10T17:32:39.64,1,Token,FNG002,,,1.0,1.0,1.0,0.8,,Normal,Weapon,Dagger (1H),Warrior,Draconic,1,,,
617897,Vow of Vengeance,Vow of Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/617897_200w.jpg,62,24213,https://cpt.tcgcsv.com/Z9Z6,2025-02-10T16:36:12.513,1,Common,FNG003,,,0.25,0.26,0.5,,,Normal,Equipment,Head,,Draconic,,1,,
617900,Coat of Allegiance,Coat of Allegiance,https://tcgplayer-cdn.tcgplayer.com/product/617900_200w.jpg,62,24213,https://cpt.tcgcsv.com/0bZ6,2025-02-10T16:37:28.84,1,Common,FNG004,,,0.48,0.5,0.52,,,Normal,Equipment,Chest,,Draconic,,0,,
617901,Blade Beckoner Gauntlets,Blade Beckoner Gauntlets,https://tcgplayer-cdn.tcgplayer.com/product/617901_200w.jpg,62,24213,https://cpt.tcgcsv.com/2bZ6,2025-02-10T16:38:08.107,1,Rare,FNG005,,,4.99,4.99,4.99,1.58,,Normal,Equipment,Arms,Generic,,,1,,
617902,Red Alert Boots,Red Alert Boots,https://tcgplayer-cdn.tcgplayer.com/product/617902_200w.jpg,62,24213,https://cpt.tcgcsv.com/3bZ6,2025-02-10T16:39:30.453,1,Common,FNG006,,,0.25,0.5,0.52,,,Normal,Equipment,Legs,Warrior;Assassin,,,1,,
617904,Hunt to the Ends of Rathe,Hunt to the Ends of Rathe,https://tcgplayer-cdn.tcgplayer.com/product/617904_200w.jpg,62,24213,https://cpt.tcgcsv.com/6bZ6,2025-02-10T16:42:05.367,1,Rare,FNG007,,,0.95,1.0,2.31,1.0,,Normal,Action,Attack,,Draconic,2,2,0,1
617905,For the Dracai,For the Dracai,https://tcgplayer-cdn.tcgplayer.com/product/617905_200w.jpg,62,24213,https://cpt.tcgcsv.com/7bZ6,2025-02-10T16:43:03.51,1,Common,FNG008,,,0.5,0.5,0.6,0.55,,Normal,Action,Attack,,Draconic,4,3,0,1
617906,Affirm Loyalty (Red),Affirm Loyalty Red,https://tcgplayer-cdn.tcgplayer.com/product/617906_200w.jpg,62,24213,https://cpt.tcgcsv.com/8bZ6,2025-02-10T16:44:46.323,1,Rare,FNG009,,,0.9,1.0,1.05,0.78,,Normal,Attack Reaction,,Warrior,Draconic,,2,0,1
617908,Blistering Blade (Red),Blistering Blade Red,https://tcgplayer-cdn.tcgplayer.com/product/617908_200w.jpg,62,24213,https://cpt.tcgcsv.com/bbZ6,2025-02-10T16:45:47.17,1,Common,FNG010,,,0.5,0.5,0.57,0.53,,Normal,Attack Reaction,,Warrior,Draconic,,2,0,1
617910,Dynastic Dedication (Red),Dynastic Dedication Red,https://tcgplayer-cdn.tcgplayer.com/product/617910_200w.jpg,62,24213,https://cpt.tcgcsv.com/dbZ6,2025-02-10T16:48:37.007,1,Common,FNG011,,,0.45,0.5,0.52,0.5,,Normal,Attack Reaction,,Warrior,Draconic,,2,2,1
617912,Endear Devotion (Red),Endear Devotion Red,https://tcgplayer-cdn.tcgplayer.com/product/617912_200w.jpg,62,24213,https://cpt.tcgcsv.com/gbZ6,2025-02-10T16:49:31.81,1,Rare,FNG012,,,0.35,0.41,1.0,,,Normal,Attack Reaction,,Warrior,Draconic,,2,1,1
617914,Fire and Brimstone,Fire and Brimstone,https://tcgplayer-cdn.tcgplayer.com/product/617914_200w.jpg,62,24213,https://cpt.tcgcsv.com/jbZ6,2025-02-10T16:50:38.067,1,Rare,FNG013,,,0.75,1.0,1.0,0.75,,Normal,Action;Attack Reaction,,Warrior,Draconic,,3,2,1
617916,Incision (Red),Incision Red,https://tcgplayer-cdn.tcgplayer.com/product/617916_200w.jpg,62,24213,https://cpt.tcgcsv.com/lbZ6,2025-02-10T16:51:29.433,1,Common,FNG014,,,0.45,0.5,0.52,,,Normal,Attack Reaction,,Warrior;Assassin,,,3,0,1
617918,Scar Tissue (Red),Scar Tissue Red,https://tcgplayer-cdn.tcgplayer.com/product/617918_200w.jpg,62,24213,https://cpt.tcgcsv.com/nbZ6,2025-02-10T16:52:35.857,1,Common,FNG015,,,0.5,0.5,0.57,0.53,,Normal,Attack Reaction,,Warrior;Assassin,,,2,0,1
617919,Searing Gaze (Red),Searing Gaze Red,https://tcgplayer-cdn.tcgplayer.com/product/617919_200w.jpg,62,24213,https://cpt.tcgcsv.com/pbZ6,2025-02-10T16:53:53.213,1,Common,FNG016,,,0.5,0.5,0.6,0.55,,Normal,Attack Reaction,,Warrior,Draconic,,2,0,1
617920,Stabbing Pain (Red),Stabbing Pain Red,https://tcgplayer-cdn.tcgplayer.com/product/617920_200w.jpg,62,24213,https://cpt.tcgcsv.com/qbZ6,2025-02-10T16:55:57.093,1,Common,FNG017,,,0.45,0.5,0.52,,,Normal,Attack Reaction,,Warrior,Draconic,,2,1,1
