productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extCardSubType,extCost,extPitchValue,extDefenseValue
654114,"Prism, Awakener of Sol (Marvel)",Prism Awakener of Sol Marvel,https://tcgplayer-cdn.tcgplayer.com/product/654114_200w.jpg,62,24446,https://cpt.tcgcsv.com/jGf7,2025-09-26T14:00:41.7,2,Marvel,GEM069,Hero,Illusionist,Light,4,32,181.3,186.97,195.0,187.63,,Cold Foil,,,,,
654115,"Summit, the Unforgiving",Summit the Unforgiving,https://tcgplayer-cdn.tcgplayer.com/product/654115_200w.jpg,62,24446,https://cpt.tcgcsv.com/kGf7,2025-09-26T14:00:41.817,1,Promo,GEM070,Weapon,Guardian,Earth;Ice,,,25.0,28.71,40.0,28.64,,Cold Foil,4,,,,
654116,Moment Maker,Moment Maker,https://tcgplayer-cdn.tcgplayer.com/product/654116_200w.jpg,62,24446,https://cpt.tcgcsv.com/lGf7,2025-10-20T12:56:31.713,1,Promo,GEM071,Weapon,Guardian,Revered,,,10.59,13.69,56.0,24.07,,Cold Foil,4,Hammer (2H);Axe (2H),,,
654116,Moment Maker,Moment Maker,https://tcgplayer-cdn.tcgplayer.com/product/654116_200w.jpg,62,24446,https://cpt.tcgcsv.com/lGf7,2025-10-20T12:56:31.713,1,Promo,GEM071,Weapon,Guardian,Revered,,,3.72,5.83,8.68,7.55,,Normal,4,Hammer (2H);Axe (2H),,,
654117,Standing Ovation,Standing Ovation,https://tcgplayer-cdn.tcgplayer.com/product/654117_200w.jpg,62,24446,https://cpt.tcgcsv.com/mGf7,2025-10-13T13:40:53.973,1,Promo,GEM072,Action,Guardian,Revered,,,16.86,20.0,32.96,30.96,,Cold Foil,8,Attack,6,3,3
654117,Standing Ovation,Standing Ovation,https://tcgplayer-cdn.tcgplayer.com/product/654117_200w.jpg,62,24446,https://cpt.tcgcsv.com/mGf7,2025-10-13T13:40:53.973,1,Promo,GEM072,Action,Guardian,Revered,,,6.0,11.0,24.75,11.56,,Rainbow Foil,8,Attack,6,3,3
654118,Backup Protocol: RED,Backup Protocol RED,https://tcgplayer-cdn.tcgplayer.com/product/654118_200w.jpg,62,24446,https://cpt.tcgcsv.com/nGf7,2025-09-26T14:00:42.207,1,Promo,GEM073,Action,Mechanologist,,,,12.0,15.0,45.0,12.76,,Cold Foil,,Item,0,1,
654119,Clamp Press,Clamp Press,https://tcgplayer-cdn.tcgplayer.com/product/654119_200w.jpg,62,24446,https://cpt.tcgcsv.com/pGf7,2025-11-03T20:54:55.44,1,Promo,GEM074,Action,Mechanologist,,,,2.98,4.0,25.0,7.48,,Cold Foil,,Item,2,3,
654119,Clamp Press,Clamp Press,https://tcgplayer-cdn.tcgplayer.com/product/654119_200w.jpg,62,24446,https://cpt.tcgcsv.com/pGf7,2025-11-03T20:54:55.44,1,Promo,GEM074,Action,Mechanologist,,,,2.96,4.9,6.3,,,Rainbow Foil,,Item,2,3,
654120,Malefic Incantation,Malefic Incantation,https://tcgplayer-cdn.tcgplayer.com/product/654120_200w.jpg,62,24446,https://cpt.tcgcsv.com/qGf7,2025-09-26T14:00:42.5,1,Promo,GEM075,Action,Runeblade,,,,20.86,24.0,31.49,27.6,,Cold Foil,,Aura,0,1,2
654121,Jarl Vetreidi,Jarl Vetreidi,https://tcgplayer-cdn.tcgplayer.com/product/654121_200w.jpg,62,24446,https://cpt.tcgcsv.com/rGf7,2025-09-26T14:00:42.677,1,Promo,GEM076,Hero,Guardian,Elemental,4,40,1.93,3.55,7.99,3.54,,Normal,,,,,
654122,"Bravo, Flattering Showman",Bravo Flattering Showman,https://tcgplayer-cdn.tcgplayer.com/product/654122_200w.jpg,62,24446,https://cpt.tcgcsv.com/sGf7,2025-09-26T14:00:42.823,1,Promo,GEM077,Hero,Guardian,,4,20,1.0,1.5,10.0,1.24,,Normal,,Young,,,
654123,Rok,Rok,https://tcgplayer-cdn.tcgplayer.com/product/654123_200w.jpg,62,24446,https://cpt.tcgcsv.com/tGf7,2025-09-26T14:00:43.01,1,Promo,GEM078,Weapon,Brute,,,,3.27,4.0,9.0,5.23,,Normal,7,Rock (2H),,,
654124,Rampart of the Ram's Head,Rampart of the Rams Head,https://tcgplayer-cdn.tcgplayer.com/product/654124_200w.jpg,62,24446,https://cpt.tcgcsv.com/vGf7,2025-09-26T14:00:43.193,1,Promo,GEM079,Equipment,Guardian,,,,53.69,66.5,99.69,67.32,,Rainbow Foil,,Off-Hand,,,0
654125,Halo of Lumina Light,Halo of Lumina Light,https://tcgplayer-cdn.tcgplayer.com/product/654125_200w.jpg,62,24446,https://cpt.tcgcsv.com/wGf7,2025-09-26T14:00:43.37,1,Promo,GEM080,Equipment,Illusionist,Light,,,11.7,16.37,36.99,21.65,,Rainbow Foil,,Head,,,
654126,Helm of the Arknight,Helm of the Arknight,https://tcgplayer-cdn.tcgplayer.com/product/654126_200w.jpg,62,24446,https://cpt.tcgcsv.com/xGf7,2025-09-26T14:00:43.557,1,Promo,GEM081,Equipment,Runeblade,,,,7.78,14.0,45.7,15.75,,Rainbow Foil,,Head,,,2
654127,Savage Sash,Savage Sash,https://tcgplayer-cdn.tcgplayer.com/product/654127_200w.jpg,62,24446,https://cpt.tcgcsv.com/zGf7,2025-09-26T14:00:43.737,1,Promo,GEM082,Equipment,Brute,,,,31.68,38.6,64.99,38.55,,Rainbow Foil,,Chest,,,2
654163,Loot the Arsenal,Loot the Arsenal,https://tcgplayer-cdn.tcgplayer.com/product/654163_200w.jpg,62,24446,https://cpt.tcgcsv.com/hHf7,2025-09-26T14:00:43.993,1,Promo,GEM083,Action,Necromancer;Pirate,,,,1.0,2.49,8.99,1.06,,Normal,,,0,3,3
654163,Loot the Arsenal,Loot the Arsenal,https://tcgplayer-cdn.tcgplayer.com/product/654163_200w.jpg,62,24446,https://cpt.tcgcsv.com/hHf7,2025-09-26T14:00:43.993,1,Promo,GEM083,Action,Necromancer;Pirate,,,,2.48,3.16,18.0,5.48,,Rainbow Foil,,,0,3,3
654165,Loot the Hold,Loot the Hold,https://tcgplayer-cdn.tcgplayer.com/product/654165_200w.jpg,62,24446,https://cpt.tcgcsv.com/kHf7,2025-09-26T14:00:44.283,1,Rare,GEM084,Action,Necromancer;Pirate,,,,3.94,4.53,7.0,4.77,,Normal,,,0,3,3
654165,Loot the Hold,Loot the Hold,https://tcgplayer-cdn.tcgplayer.com/product/654165_200w.jpg,62,24446,https://cpt.tcgcsv.com/kHf7,2025-09-26T14:00:44.283,1,Rare,GEM084,Action,Necromancer;Pirate,,,,8.83,9.79,27.0,13.35,,Rainbow Foil,,,0,3,3
654166,Wind Up the Crowd,Wind Up the Crowd,https://tcgplayer-cdn.tcgplayer.com/product/654166_200w.jpg,62,24446,https://cpt.tcgcsv.com/lHf7,2025-09-26T14:00:44.557,1,Promo,GEM085,Action,Brute,Revered,,,10.18,11.5,16.0,12.04,,Rainbow Foil,6,Attack,3,3,0
654166,Wind Up the Crowd,Wind Up the Crowd,https://tcgplayer-cdn.tcgplayer.com/product/654166_200w.jpg,62,24446,https://cpt.tcgcsv.com/lHf7,2025-09-26T14:00:44.557,1,Promo,GEM085,Action,Brute,Revered,,,1.95,2.77,7.5,3.63,,Normal,6,Attack,3,3,0
654167,Turning Point,Turning Point,https://tcgplayer-cdn.tcgplayer.com/product/654167_200w.jpg,62,24446,https://cpt.tcgcsv.com/mHf7,2025-09-26T14:00:44.833,1,Promo,GEM086,Block,Guardian,Revered,,,4.18,6.31,21.0,9.8,,Rainbow Foil,,,,3,2
654167,Turning Point,Turning Point,https://tcgplayer-cdn.tcgplayer.com/product/654167_200w.jpg,62,24446,https://cpt.tcgcsv.com/mHf7,2025-09-26T14:00:44.833,1,Promo,GEM086,Block,Guardian,Revered,,,3.43,5.84,13.89,7.06,,Normal,,,,3,2
654168,Steal Victory,Steal Victory,https://tcgplayer-cdn.tcgplayer.com/product/654168_200w.jpg,62,24446,https://cpt.tcgcsv.com/nHf7,2025-09-26T14:00:45.157,1,Promo,GEM087,Block,Brute,Reviled,,,1.8,2.07,5.0,2.02,,Normal,,,,3,3
654168,Steal Victory,Steal Victory,https://tcgplayer-cdn.tcgplayer.com/product/654168_200w.jpg,62,24446,https://cpt.tcgcsv.com/nHf7,2025-09-26T14:00:45.157,1,Promo,GEM087,Block,Brute,Reviled,,,8.66,10.79,15.62,9.72,,Rainbow Foil,,,,3,3
654169,A Good Clean Fight,A Good Clean Fight,https://tcgplayer-cdn.tcgplayer.com/product/654169_200w.jpg,62,24446,https://cpt.tcgcsv.com/pHf7,2025-09-26T14:00:45.263,1,Promo,GEM088,Action,,Revered,,,0.99,1.84,5.75,2.36,,Rainbow Foil,7,Attack,3,1,3
654169,A Good Clean Fight,A Good Clean Fight,https://tcgplayer-cdn.tcgplayer.com/product/654169_200w.jpg,62,24446,https://cpt.tcgcsv.com/pHf7,2025-09-26T14:00:45.263,1,Promo,GEM088,Action,,Revered,,,0.14,1.0,3.19,1.08,,Normal,7,Attack,3,1,3
654171,Rapturous Applause,Rapturous Applause,https://tcgplayer-cdn.tcgplayer.com/product/654171_200w.jpg,62,24446,https://cpt.tcgcsv.com/rHf7,2025-09-26T14:00:45.45,1,Promo,GEM089,Action,,Revered,,,0.16,0.5,2.99,0.35,,Normal,6,Attack,3,2,3
654171,Rapturous Applause,Rapturous Applause,https://tcgplayer-cdn.tcgplayer.com/product/654171_200w.jpg,62,24446,https://cpt.tcgcsv.com/rHf7,2025-09-26T14:00:45.45,1,Promo,GEM089,Action,,Revered,,,0.5,0.76,10.0,0.76,,Rainbow Foil,6,Attack,3,2,3
654172,Shining Courage,Shining Courage,https://tcgplayer-cdn.tcgplayer.com/product/654172_200w.jpg,62,24446,https://cpt.tcgcsv.com/sHf7,2025-09-26T14:00:45.577,1,Promo,GEM090,Instant,,Revered,,,0.56,0.99,9.63,1.14,,Normal,,,0,1,
654172,Shining Courage,Shining Courage,https://tcgplayer-cdn.tcgplayer.com/product/654172_200w.jpg,62,24446,https://cpt.tcgcsv.com/sHf7,2025-09-26T14:00:45.577,1,Promo,GEM090,Instant,,Revered,,,0.82,1.88,5.99,2.65,,Rainbow Foil,,,0,1,
654173,Heroic Pose,Heroic Pose,https://tcgplayer-cdn.tcgplayer.com/product/654173_200w.jpg,62,24446,https://cpt.tcgcsv.com/tHf7,2025-09-26T14:00:45.7,1,Promo,GEM091,Action,,Revered,,,0.98,1.4,3.68,1.68,,Rainbow Foil,,,1,1,2
654173,Heroic Pose,Heroic Pose,https://tcgplayer-cdn.tcgplayer.com/product/654173_200w.jpg,62,24446,https://cpt.tcgcsv.com/tHf7,2025-09-26T14:00:45.7,1,Promo,GEM091,Action,,Revered,,,0.5,0.99,13.0,0.62,,Normal,,,1,1,2
654176,Humble Entrance,Humble Entrance,https://tcgplayer-cdn.tcgplayer.com/product/654176_200w.jpg,62,24446,https://cpt.tcgcsv.com/xHf7,2025-09-26T14:00:45.823,1,Promo,GEM092,Action,,Revered,,,1.91,3.21,9.0,5.07,,Rainbow Foil,,,0,3,2
654176,Humble Entrance,Humble Entrance,https://tcgplayer-cdn.tcgplayer.com/product/654176_200w.jpg,62,24446,https://cpt.tcgcsv.com/xHf7,2025-09-26T14:00:45.823,1,Promo,GEM092,Action,,Revered,,,1.49,1.67,3.99,1.71,,Normal,,,0,3,2
654178,Low Blow,Low Blow,https://tcgplayer-cdn.tcgplayer.com/product/654178_200w.jpg,62,24446,https://cpt.tcgcsv.com/BHf7,2025-09-26T14:00:45.933,1,Promo,GEM093,Action,,Reviled,,,0.45,0.99,5.22,3.22,,Normal,3,Attack,1,1,3
654178,Low Blow,Low Blow,https://tcgplayer-cdn.tcgplayer.com/product/654178_200w.jpg,62,24446,https://cpt.tcgcsv.com/BHf7,2025-09-26T14:00:45.933,1,Promo,GEM093,Action,,Reviled,,,0.75,1.49,8.0,1.35,,Rainbow Foil,3,Attack,1,1,3
654182,Overturn the Results,Overturn the Results,https://tcgplayer-cdn.tcgplayer.com/product/654182_200w.jpg,62,24446,https://cpt.tcgcsv.com/GHf7,2025-09-26T14:00:46.06,1,Promo,GEM094,Action,,Reviled,,,2.55,2.99,20.0,3.8,,Rainbow Foil,5,Attack,3,3,3
654182,Overturn the Results,Overturn the Results,https://tcgplayer-cdn.tcgplayer.com/product/654182_200w.jpg,62,24446,https://cpt.tcgcsv.com/GHf7,2025-09-26T14:00:46.06,1,Promo,GEM094,Action,,Reviled,,,1.12,2.0,15.0,3.0,,Normal,5,Attack,3,3,3
654190,Take That!,Take That,https://tcgplayer-cdn.tcgplayer.com/product/654190_200w.jpg,62,24446,https://cpt.tcgcsv.com/QHf7,2025-09-26T14:00:46.197,1,Promo,GEM095,Action,,Reviled,,,0.55,0.69,5.0,0.63,,Normal,5,Attack,0,1,2
654190,Take That!,Take That,https://tcgplayer-cdn.tcgplayer.com/product/654190_200w.jpg,62,24446,https://cpt.tcgcsv.com/QHf7,2025-09-26T14:00:46.197,1,Promo,GEM095,Action,,Reviled,,,0.99,1.5,5.0,1.44,,Rainbow Foil,5,Attack,0,1,2
654191,Cruel Ambition,Cruel Ambition,https://tcgplayer-cdn.tcgplayer.com/product/654191_200w.jpg,62,24446,https://cpt.tcgcsv.com/RHf7,2025-09-26T14:00:46.32,1,Promo,GEM096,Action,,Reviled,,,1.5,3.0,8.0,3.48,,Normal,,,0,1,2
654191,Cruel Ambition,Cruel Ambition,https://tcgplayer-cdn.tcgplayer.com/product/654191_200w.jpg,62,24446,https://cpt.tcgcsv.com/RHf7,2025-09-26T14:00:46.32,1,Promo,GEM096,Action,,Reviled,,,2.0,4.2,7.03,5.03,,Rainbow Foil,,,0,1,2
654192,Villainous Pose,Villainous Pose,https://tcgplayer-cdn.tcgplayer.com/product/654192_200w.jpg,62,24446,https://cpt.tcgcsv.com/SHf7,2025-09-26T14:00:46.43,1,Promo,GEM097,Action,,Reviled,,,6.41,7.68,18.0,8.19,,Rainbow Foil,,,2,1,2
654192,Villainous Pose,Villainous Pose,https://tcgplayer-cdn.tcgplayer.com/product/654192_200w.jpg,62,24446,https://cpt.tcgcsv.com/SHf7,2025-09-26T14:00:46.43,1,Promo,GEM097,Action,,Reviled,,,1.02,1.68,2.35,1.71,,Normal,,,2,1,2
654193,Energetic Impact,Energetic Impact,https://tcgplayer-cdn.tcgplayer.com/product/654193_200w.jpg,62,24446,https://cpt.tcgcsv.com/THf7,2025-09-26T14:00:46.587,1,Promo,GEM098,Action,Brute,,,,3.88,4.64,10.0,5.84,,Normal,5,Attack,3,3,3
654193,Energetic Impact,Energetic Impact,https://tcgplayer-cdn.tcgplayer.com/product/654193_200w.jpg,62,24446,https://cpt.tcgcsv.com/THf7,2025-09-26T14:00:46.587,1,Promo,GEM098,Action,Brute,,,,7.24,9.0,10.42,8.49,,Rainbow Foil,5,Attack,3,3,3
654194,Flex Strength,Flex Strength,https://tcgplayer-cdn.tcgplayer.com/product/654194_200w.jpg,62,24446,https://cpt.tcgcsv.com/VHf7,2025-09-26T14:00:46.71,1,Promo,GEM099,Action,Brute,,,,4.4,5.01,9.23,5.75,,Rainbow Foil,2,Attack,2,3,3
654194,Flex Strength,Flex Strength,https://tcgplayer-cdn.tcgplayer.com/product/654194_200w.jpg,62,24446,https://cpt.tcgcsv.com/VHf7,2025-09-26T14:00:46.71,1,Promo,GEM099,Action,Brute,,,,1.19,1.5,4.98,1.54,,Normal,2,Attack,2,3,3
654195,Smashing Ground,Smashing Ground,https://tcgplayer-cdn.tcgplayer.com/product/654195_200w.jpg,62,24446,https://cpt.tcgcsv.com/WHf7,2025-09-26T14:00:46.833,1,Promo,GEM100,Action,Brute,,,,6.87,13.33,45.38,21.97,,Rainbow Foil,5,Attack,3,3,3
654195,Smashing Ground,Smashing Ground,https://tcgplayer-cdn.tcgplayer.com/product/654195_200w.jpg,62,24446,https://cpt.tcgcsv.com/WHf7,2025-09-26T14:00:46.833,1,Promo,GEM100,Action,Brute,,,,2.99,4.03,35.0,6.48,,Normal,5,Attack,3,3,3
654196,Buckwild,Buckwild,https://tcgplayer-cdn.tcgplayer.com/product/654196_200w.jpg,62,24446,https://cpt.tcgcsv.com/XHf7,2025-09-26T14:00:46.957,1,Promo,GEM101,Action,Brute,,,,3.93,7.44,21.2,10.9,,Rainbow Foil,7,Attack,3,1,2
654196,Buckwild,Buckwild,https://tcgplayer-cdn.tcgplayer.com/product/654196_200w.jpg,62,24446,https://cpt.tcgcsv.com/XHf7,2025-09-26T14:00:46.957,1,Promo,GEM101,Action,Brute,,,,1.36,2.27,18.0,3.88,,Normal,7,Attack,3,1,2
654197,Boulder Drop,Boulder Drop,https://tcgplayer-cdn.tcgplayer.com/product/654197_200w.jpg,62,24446,https://cpt.tcgcsv.com/ZHf7,2025-09-26T14:00:47.107,1,Promo,GEM102,Action,Guardian,,,,7.0,7.15,13.59,7.49,,Normal,7,Attack,3,1,3
654197,Boulder Drop,Boulder Drop,https://tcgplayer-cdn.tcgplayer.com/product/654197_200w.jpg,62,24446,https://cpt.tcgcsv.com/ZHf7,2025-09-26T14:00:47.107,1,Promo,GEM102,Action,Guardian,,,,12.98,14.99,15.0,13.96,,Rainbow Foil,7,Attack,3,1,3
654199,Power Play,Power Play,https://tcgplayer-cdn.tcgplayer.com/product/654199_200w.jpg,62,24446,https://cpt.tcgcsv.com/_Hf7,2025-09-26T14:00:47.24,1,Promo,GEM103,Action,Guardian,,,,5.11,6.79,9.98,6.7,,Rainbow Foil,1,Attack,3,3,3
654199,Power Play,Power Play,https://tcgplayer-cdn.tcgplayer.com/product/654199_200w.jpg,62,24446,https://cpt.tcgcsv.com/_Hf7,2025-09-26T14:00:47.24,1,Promo,GEM103,Action,Guardian,,,,1.32,2.14,5.51,2.41,,Normal,1,Attack,3,3,3
654200,Fast and Furious,Fast and Furious,https://tcgplayer-cdn.tcgplayer.com/product/654200_200w.jpg,62,24446,https://cpt.tcgcsv.com/0Jf7,2025-09-26T14:00:47.377,1,Promo,GEM104,Action,Mechanologist,,,,42.66,46.48,55.0,50.0,,Normal,3,Attack,0,1,3
654200,Fast and Furious,Fast and Furious,https://tcgplayer-cdn.tcgplayer.com/product/654200_200w.jpg,62,24446,https://cpt.tcgcsv.com/0Jf7,2025-09-26T14:00:47.377,1,Promo,GEM104,Action,Mechanologist,,,,34.99,39.9,65.0,40.5,,Rainbow Foil,3,Attack,0,1,3
