productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extDefenseValue,extCost,extPitchValue,extPower,extIntellect,extLife,extFlavorText
268763,History Pack Vol.1 Booster Box Case,History Pack Vol1 Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/268763_200w.jpg,62,3053,https://cpt.tcgcsv.com/hw93,2022-05-06T04:03:33.393,1,264.99,356.9,699.99,279.55,,Normal,,,,,,,,,,,,
268764,History Pack Vol.1 Booster Box,History Pack Vol1 Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/268764_200w.jpg,62,3053,https://cpt.tcgcsv.com/jw93,2022-05-06T04:03:33.393,1,73.5,88.49,136.99,73.87,,Normal,,,,,,,,,,,,
268765,History Pack Vol.1 Booster Pack,History Pack Vol1 Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/268765_200w.jpg,62,3053,https://cpt.tcgcsv.com/kw93,2022-05-06T04:03:33.393,1,2.99,4.98,8.39,4.54,,Normal,,,,,,,,,,,,
270887,Fyendal's Spring Tunic,Fyendals Spring Tunic,https://tcgplayer-cdn.tcgplayer.com/product/270887_200w.jpg,62,3053,https://cpt.tcgcsv.com/Mmb3,2022-05-06T10:00:02.533,1,95.73,124.89,254.23,123.98,,Normal,Legendary,1HP341,Equipment,Chest,Generic,1,,,,,,
270888,Ironrot Helm,Ironrot Helm,https://tcgplayer-cdn.tcgplayer.com/product/270888_200w.jpg,62,3053,https://cpt.tcgcsv.com/Nmb3,2022-05-06T10:02:39.607,1,0.09,0.2,1.48,0.1,,Normal,Common,1HP342,Equipment,Head,Generic,1,,,,,,
270889,Sleep Dart (Red),Sleep Dart Red,https://tcgplayer-cdn.tcgplayer.com/product/270889_200w.jpg,62,3053,https://cpt.tcgcsv.com/Pmb3,2025-03-13T14:25:30.553,1,0.15,0.25,1.55,0.2,,Normal,Common,1HP255,Action,Arrow Attack,Ranger,3,1,1,5,,,
270890,Sleep Dart (Yellow),Sleep Dart Yellow,https://tcgplayer-cdn.tcgplayer.com/product/270890_200w.jpg,62,3053,https://cpt.tcgcsv.com/Qmb3,2025-03-13T14:25:41.84,1,0.04,0.2,1.43,0.13,,Normal,Common,1HP256,Action,Arrow Attack,Ranger,3,1,2,4,,,
270891,Stroke of Foresight (Blue),Stroke of Foresight Blue,https://tcgplayer-cdn.tcgplayer.com/product/270891_200w.jpg,62,3053,https://cpt.tcgcsv.com/Rmb3,2022-05-06T10:30:34.26,1,0.05,0.2,1.43,0.05,,Normal,Common,1HP170,Attack Reaction,,Warrior,3,1,3,,,,
270892,Seismic Surge,Seismic Surge,https://tcgplayer-cdn.tcgplayer.com/product/270892_200w.jpg,62,3053,https://cpt.tcgcsv.com/Smb3,2025-03-13T16:36:38.657,1,0.15,0.28,4.83,0.24,,Normal,Common,1HP085,Token,Aura,Guardian,,,,,,,
270893,Ironrot Plate,Ironrot Plate,https://tcgplayer-cdn.tcgplayer.com/product/270893_200w.jpg,62,3053,https://cpt.tcgcsv.com/Tmb3,2022-05-06T10:02:46.097,1,0.05,0.17,1.44,0.06,,Normal,Common,1HP343,Equipment,Chest,Generic,1,,,,,,
