productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extDefenseValue,extCardSubType,extCost,extPitchValue,extPower
237758,Monarch Blitz Deck - Prism,Monarch Blitz Deck Prism,https://tcgplayer-cdn.tcgplayer.com/product/237758_200w.jpg,62,2818,https://cpt.tcgcsv.com/b7W2,2021-05-18T13:06:52.29,1,3.95,11.51,23.99,10.13,,Normal,,,,,,,,,,,,
238499,Prism,Prism,https://tcgplayer-cdn.tcgplayer.com/product/238499_200w.jpg,62,2818,https://cpt.tcgcsv.com/_pW2,2025-03-10T19:50:58.897,1,0.15,0.45,19.99,0.37,,Unlimited Edition Rainbow Foil,Rare,PSM001,Hero,Illusionist,Light,4,20,,,,,
238501,The Librarian,The Librarian,https://tcgplayer-cdn.tcgplayer.com/product/238501_200w.jpg,62,2818,https://cpt.tcgcsv.com/2qW2,2025-03-11T11:45:10.363,1,0.15,0.72,20.0,0.67,,Normal,Majestic,PSM002,Mentor,Illusionist,,,,2,,,,
238503,Iris of Reality,Iris of Reality,https://tcgplayer-cdn.tcgplayer.com/product/238503_200w.jpg,62,2818,https://cpt.tcgcsv.com/5qW2,2025-03-10T18:09:27.55,1,4.26,6.96,650.0,6.35,,Normal,Common,PSM003,Weapon,Illusionist,,,,,,,,
238504,Halo of Illumination,Halo of Illumination,https://tcgplayer-cdn.tcgplayer.com/product/238504_200w.jpg,62,2818,https://cpt.tcgcsv.com/6qW2,2025-03-10T18:09:33.723,1,0.14,0.25,1.99,,,Normal,Common,PSM004,Equipment,,Light,,,0,Head,,,
238505,Heartened Cross Strap,Heartened Cross Strap,https://tcgplayer-cdn.tcgplayer.com/product/238505_200w.jpg,62,2818,https://cpt.tcgcsv.com/7qW2,2021-05-14T04:03:14.213,1,0.1,0.33,5.0,0.25,,Normal,Common,PSM005,Equipment,Generic,,,,0,Chest,,,
238506,Dream Weavers,Dream Weavers,https://tcgplayer-cdn.tcgplayer.com/product/238506_200w.jpg,62,2818,https://cpt.tcgcsv.com/8qW2,2025-03-10T19:51:11.407,1,0.1,0.25,1.18,0.33,,Normal,Common,PSM006,Equipment,Illusionist,,,,0,Arms,,,
238507,Spell Fray Leggings,Spell Fray Leggings,https://tcgplayer-cdn.tcgplayer.com/product/238507_200w.jpg,62,2818,https://cpt.tcgcsv.com/9qW2,2025-03-11T11:53:08.637,1,0.24,0.35,3.36,0.26,,Normal,Rare,PSM007,Equipment,Generic,,,,0,Legs,,,
238508,Herald of Judgment,Herald of Judgment,https://tcgplayer-cdn.tcgplayer.com/product/238508_200w.jpg,62,2818,https://cpt.tcgcsv.com/bqW2,2025-03-10T18:14:01.373,1,0.25,0.65,1.99,0.49,,Normal,Rare,PSM008,Action,Illusionist,Light,,,3,Attack,2,2,6
238509,Herald of Protection (Red),Herald of Protection Red,https://tcgplayer-cdn.tcgplayer.com/product/238509_200w.jpg,62,2818,https://cpt.tcgcsv.com/cqW2,2025-03-10T18:09:53.14,1,0.15,0.28,1.11,0.27,,Normal,Common,PSM009,Action,Illusionist,Light,,,3,Attack,2,1,7
