productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extPower
648060,Smash Palace Box Set,Smash Palace Box Set,https://tcgplayer-cdn.tcgplayer.com/product/648060_200w.jpg,62,24415,https://cpt.tcgcsv.com/dfc7,2025-08-08T04:11:42.31,1,51.71,57.62,94.9,57.45,,Normal,,,,,,,,
648161,"Bolfar, Bear Hands",Bolfar Bear Hands,https://tcgplayer-cdn.tcgplayer.com/product/648161_200w.jpg,62,24415,https://cpt.tcgcsv.com/fhc7,2025-08-08T04:11:42.31,1,3.96,6.49,9.89,8.66,,Normal,Majestic,SMP001,Hero,Pit-Fighter,Guardian,4,20,
648162,"Bravo, Flattering Showman",Bravo Flattering Showman,https://tcgplayer-cdn.tcgplayer.com/product/648162_200w.jpg,62,24415,https://cpt.tcgcsv.com/ghc7,2025-08-08T04:11:42.31,1,10.0,13.57,14.89,9.21,,Normal,Majestic,SMP002,Hero,Young,Guardian,4,20,
648164,Fightmaster Kox,Fightmaster Kox,https://tcgplayer-cdn.tcgplayer.com/product/648164_200w.jpg,62,24415,https://cpt.tcgcsv.com/jhc7,2025-08-08T04:11:42.31,1,3.05,3.41,9.89,3.73,,Normal,Majestic,SMP003,Hero,Pit-Fighter,Guardian,4,19,
648165,Groundbreaker Crix,Groundbreaker Crix,https://tcgplayer-cdn.tcgplayer.com/product/648165_200w.jpg,62,24415,https://cpt.tcgcsv.com/khc7,2025-08-08T04:11:42.31,1,3.37,4.16,9.89,6.43,,Normal,Majestic,SMP004,Hero,Pit-Fighter,Guardian,4,20,
648166,"Reya, the Unyielding",Reya the Unyielding,https://tcgplayer-cdn.tcgplayer.com/product/648166_200w.jpg,62,24415,https://cpt.tcgcsv.com/lhc7,2025-08-08T04:11:42.31,1,3.65,4.2,14.89,10.09,,Normal,Majestic,SMP005,Hero,Pit-Fighter,Guardian,4,21,
648168,"Victor Goldmane, Match Fixer",Victor Goldmane Match Fixer,https://tcgplayer-cdn.tcgplayer.com/product/648168_200w.jpg,62,24415,https://cpt.tcgcsv.com/nhc7,2025-08-08T04:11:42.31,1,3.67,5.17,9.89,6.63,,Normal,Majestic,SMP006,Hero,Pit-Fighter,Guardian,4,20,
648170,Air of a Comeback,Air of a Comeback,https://tcgplayer-cdn.tcgplayer.com/product/648170_200w.jpg,62,24415,https://cpt.tcgcsv.com/qhc7,2025-08-08T04:11:42.31,1,2.0,2.0,2.0,,,Normal,Majestic,SMP007,Event,,,,,
648171,Benefactor of Bloodworth Goldmane,Benefactor of Bloodworth Goldmane,https://tcgplayer-cdn.tcgplayer.com/product/648171_200w.jpg,62,24415,https://cpt.tcgcsv.com/rhc7,2025-08-08T04:11:42.31,1,2.0,2.0,2.0,,,Normal,Majestic,SMP008,Event,,,,,
648172,"Big Hits, Big Applause",Big Hits Big Applause,https://tcgplayer-cdn.tcgplayer.com/product/648172_200w.jpg,62,24415,https://cpt.tcgcsv.com/shc7,2025-08-08T04:11:42.31,1,2.0,2.0,2.0,,,Normal,Majestic,SMP009,Event,,,,,
648173,Code of Conduct: Kill or Be Killed,Code of Conduct Kill or Be Killed,https://tcgplayer-cdn.tcgplayer.com/product/648173_200w.jpg,62,24415,https://cpt.tcgcsv.com/thc7,2025-08-08T04:11:42.31,1,,,,,,,Majestic,SMP010,Event,,,,,
648174,Hit the Jackpot,Hit the Jackpot,https://tcgplayer-cdn.tcgplayer.com/product/648174_200w.jpg,62,24415,https://cpt.tcgcsv.com/vhc7,2025-08-08T04:11:42.31,1,2.0,2.0,2.0,,,Normal,Majestic,SMP011,Event,,,,,
648175,Random Events Unfold,Random Events Unfold,https://tcgplayer-cdn.tcgplayer.com/product/648175_200w.jpg,62,24415,https://cpt.tcgcsv.com/whc7,2025-08-08T04:11:42.31,1,,,,,,,Majestic,SMP012,Event,,,,,
648176,Visit the 'Winner Takes All',Visit the Winner Takes All,https://tcgplayer-cdn.tcgplayer.com/product/648176_200w.jpg,62,24415,https://cpt.tcgcsv.com/xhc7,2025-08-08T04:11:42.31,1,,,,,,,Majestic,SMP013,Event,,,,,
648177,Bloodied Helm,Bloodied Helm,https://tcgplayer-cdn.tcgplayer.com/product/648177_200w.jpg,62,24415,https://cpt.tcgcsv.com/zhc7,2025-08-08T04:11:42.31,1,1.0,1.0,1.0,,,Normal,Rare,SMP014,Equipment;Event,Head,,,,
648178,Bloodied Strapping,Bloodied Strapping,https://tcgplayer-cdn.tcgplayer.com/product/648178_200w.jpg,62,24415,https://cpt.tcgcsv.com/Bhc7,2025-08-08T04:11:42.31,1,1.0,1.0,1.0,,,Normal,Rare,SMP015,Equipment;Event,Chest,,,,
648179,Bloodied Gauntlet,Bloodied Gauntlet,https://tcgplayer-cdn.tcgplayer.com/product/648179_200w.jpg,62,24415,https://cpt.tcgcsv.com/Chc7,2025-08-08T04:11:42.31,1,1.0,1.0,1.0,,,Normal,Rare,SMP016,Equipment;Event,Arms,,,,
648180,Bloodied Boots,Bloodied Boots,https://tcgplayer-cdn.tcgplayer.com/product/648180_200w.jpg,62,24415,https://cpt.tcgcsv.com/Dhc7,2025-08-08T04:11:42.31,1,1.0,1.0,1.0,,,Normal,Rare,SMP017,Equipment;Event,Legs,,,,
648181,Bloodied Shield,Bloodied Shield,https://tcgplayer-cdn.tcgplayer.com/product/648181_200w.jpg,62,24415,https://cpt.tcgcsv.com/Fhc7,2025-08-08T04:11:42.31,1,1.0,1.0,1.0,,,Normal,Rare,SMP018,Equipment;Event,Off-Hand,,,,
648182,Arena Medic,Arena Medic,https://tcgplayer-cdn.tcgplayer.com/product/648182_200w.jpg,62,24415,https://cpt.tcgcsv.com/Ghc7,2025-08-08T04:11:42.31,1,0.35,0.35,0.35,,,Normal,Common,SMP019,Event,,,,,
